Player,PER,TS%,WS,BPM,VORP
Precious Achiuwa\achiupr01,12.7,.503,2.5,-2.6,-0.2
Steven Adams\adamsst01,17.6,.560,6.8,2.0,2.0
Bam Adebayo\adebaba01,21.8,.608,7.2,3.8,2.7
Santi Aldama\aldamsa01,10.2,.452,0.3,-5.7,-0.3
LaMarcus Aldridge\aldrila01,19.6,.604,3.1,0.7,0.7
Nickeil Alexander-Walker\alexani01,10.5,.475,0.1,-2.9,-0.3
Nickeil Alexander-Walker\alexani01,10.5,.474,-0.1,-3.0,-0.3
Nickeil Alexander-Walker\alexani01,10.2,.497,0.2,-1.7,0.0
Grayson Allen\allengr01,12.7,.609,4.2,0.5,1.1
Jarrett Allen\allenja01,23.0,.698,8.5,3.9,2.7
Jose Alvarado\alvarjo01,16.4,.520,2.1,1.9,0.8
Justin Anderson\anderju01,10.4,.493,0.4,-3.2,-0.1
Justin Anderson\anderju01,10.7,.666,0.1,-2.6,0.0
Justin Anderson\anderju01,10.3,.475,0.2,-3.3,-0.1
Kyle Anderson\anderky01,14.4,.506,3.5,1.2,1.2
Giannis Antetokounmpo\antetgi01,32.1,.633,12.9,11.2,7.4
Thanasis Antetokounmpo\antetth01,12.5,.577,0.9,-3.5,-0.2
Carmelo Anthony\anthoca01,14.8,.579,3.6,-0.5,0.7
Cole Anthony\anthoco01,13.5,.519,1.6,-1.2,0.4
OG Anunoby\anunoog01,14.8,.549,3.7,0.5,1.1
Ryan Arcidiacono\arcidry01,6.1,.667,0.1,-4.6,-0.1
Trevor Ariza\arizatr01,7.0,.449,0.2,-3.4,-0.2
D.J. Augustin\augusdj01,9.7,.610,0.8,-3.6,-0.4
D.J. Augustin\augusdj01,9.7,.596,0.2,-4.3,-0.3
D.J. Augustin\augusdj01,9.7,.635,0.6,-2.6,-0.1
Deni Avdija\avdijde01,11.6,.536,2.4,-1.7,0.1
Joel Ayayi\ayayijo01,3.4,.167,0.0,-6.0,0.0
Deandre Ayton\aytonde01,21.9,.656,7.3,2.8,2.1
Udoka Azubuike\azubuud01,17.6,.743,0.6,-1.4,0.0
Marvin Bagley III\baglema01,15.7,.551,2.0,-2.3,-0.1
Marvin Bagley III\baglema01,14.3,.521,0.9,-3.5,-0.3
Marvin Bagley III\baglema01,17.7,.585,1.1,-0.6,0.2
LaMelo Ball\ballla01,19.7,.554,5.8,3.4,3.3
Lonzo Ball\balllo01,14.5,.575,2.2,2.5,1.4
Mo Bamba\bambamo01,16.5,.582,4.5,0.7,1.2
Desmond Bane\banede01,17.6,.592,7.2,2.7,2.7
Dalano Banton\bantoda01,10.0,.463,0.4,-3.0,-0.2
Cat Barber\barbeca01,-11.2,.000,-0.1,-23.5,-0.1
Harrison Barnes\barneha02,15.7,.623,6.0,0.2,1.4
Scottie Barnes\barnesc01,16.3,.552,6.6,0.9,1.9
RJ Barrett\barrerj01,13.7,.511,2.3,-1.6,0.2
Will Barton\bartowi01,13.4,.548,3.2,-0.5,0.9
Paris Bass\basspa01,13.9,.436,0.0,-12.4,0.0
Charles Bassey\bassech01,21.5,.660,0.8,1.9,0.2
Keita Bates-Diop\bateske01,12.4,.578,1.6,-2.6,-0.1
Nicolas Batum\batumni01,13.5,.608,3.7,2.3,1.6
Kent Bazemore\bazemke01,6.0,.451,0.1,-4.3,-0.3
Darius Bazley\bazleda01,12.6,.515,1.8,-1.8,0.1
Bradley Beal\bealbr01,17.5,.539,1.4,0.8,1.0
Malik Beasley\beaslma01,11.9,.544,2.9,-0.7,0.7
Jordan Bell\belljo01,29.9,,0.0,2.7,0.0
DeAndre' Bembry\bembrde01,11.9,.601,2.2,-0.7,0.3
DeAndre' Bembry\bembrde01,12.4,.609,2.1,-0.4,0.4
DeAndre' Bembry\bembrde01,4.8,.375,0.1,-3.9,0.0
Dāvis Bertāns\bertada01,9.4,.531,0.9,-2.6,-0.1
Dāvis Bertāns\bertada01,8.3,.527,0.3,-3.8,-0.2
Dāvis Bertāns\bertada01,11.2,.540,0.6,-0.6,0.1
Patrick Beverley\beverpa01,14.8,.539,4.1,2.7,1.7
Saddiq Bey\beysa01,14.0,.529,4.0,-0.3,1.2
Khem Birch\birchkh01,13.2,.534,2.6,-1.3,0.2
Goga Bitadze\bitadgo01,18.0,.595,1.9,-0.8,0.2
Bismack Biyombo\biyombi01,17.3,.596,1.8,-1.3,0.1
Nemanja Bjelica\bjeline01,14.2,.573,3.0,1.4,1.0
Eric Bledsoe\bledser01,12.5,.514,1.3,-0.8,0.4
Keljin Blevins\blevike01,4.8,.410,-0.5,-8.5,-0.6
Bogdan Bogdanović\bogdabo01,15.4,.562,3.7,1.3,1.5
Bojan Bogdanović\bogdabo02,15.7,.599,5.2,0.0,1.1
Bol Bol\bolbo01,13.5,.565,0.1,-1.0,0.0
Leandro Bolmaro\bolmale01,5.4,.419,0.0,-5.8,-0.2
Isaac Bonga\bongais01,8.7,.363,0.1,-0.4,0.0
Devin Booker\bookede01,21.3,.576,7.6,4.1,3.6
Brandon Boston Jr.\bostobr01,11.2,.481,0.4,-3.3,-0.3
Chris Boucher\bouchch01,17.9,.570,6.0,0.0,0.9
James Bouknight\bouknja01,10.1,.459,0.0,-7.1,-0.4
Avery Bradley\bradlav01,7.8,.550,1.2,-3.6,-0.6
Tony Bradley\bradlto01,14.9,.600,1.3,-1.8,0.0
Ignas Brazdeikis\brazdig01,10.2,.520,0.5,-4.3,-0.3
Mikal Bridges\bridgmi01,14.4,.627,8.9,1.6,2.6
Miles Bridges\bridgmi02,17.9,.593,7.2,1.5,2.5
Oshae Brissett\brissos01,12.9,.530,2.2,-2.2,-0.1
Malcolm Brogdon\brogdma01,18.0,.557,2.7,2.3,1.3
Armoni Brooks\brookar01,8.4,.483,0.2,-3.9,-0.4
Armoni Brooks\brookar01,8.4,.490,0.0,-4.4,-0.4
Armoni Brooks\brookar01,8.6,.437,0.2,-1.6,0.0
Dillon Brooks\brookdi01,15.5,.515,1.6,-1.8,0.0
Bruce Brown\brownbr01,15.0,.575,4.8,0.7,1.2
Charlie Brown Jr.\brownch02,6.5,.346,0.0,-4.8,-0.1
Charlie Brown Jr.\brownch02,5.1,.200,0.0,-2.6,0.0
Charlie Brown Jr.\brownch02,6.6,.365,0.1,-5.0,-0.1
Chaundee Brown Jr.\brownch05,6.4,.447,0.0,-6.6,-0.1
Chaundee Brown Jr.\brownch05,-8.7,.143,-0.1,-16.6,-0.1
Chaundee Brown Jr.\brownch05,10.3,.525,0.1,-4.1,0.0
Greg Brown III\browngr01,11.0,.515,0.4,-4.7,-0.4
Jaylen Brown\brownja02,18.9,.574,5.8,2.1,2.2
Moses Brown\brownmo01,18.5,.612,1.2,-3.3,-0.1
Moses Brown\brownmo01,15.5,.588,0.4,-4.8,-0.1
Moses Brown\brownmo01,21.4,.636,0.8,-1.9,0.0
Sterling Brown\brownst02,8.4,.495,0.8,-2.9,-0.1
Troy Brown Jr.\browntr01,10.1,.525,1.4,-1.8,0.1
Jalen Brunson\brunsja01,17.1,.583,7.5,0.9,1.9
Thomas Bryant\bryanth01,16.6,.607,1.1,-1.0,0.1
Shaq Buchanan\buchash01,0.6,.250,0.0,-11.2,0.0
Reggie Bullock\bullore01,9.2,.558,3.2,-1.4,0.3
Trey Burke\burketr01,10.0,.475,0.0,-5.0,-0.3
Alec Burks\burksal01,13.7,.559,6.1,0.8,1.7
Jared Butler\butleja02,12.1,.509,0.4,-1.6,0.0
Jimmy Butler\butleji01,23.6,.592,9.2,6.3,4.0
Devontae Cacok\cacokde01,20.2,.675,0.5,4.2,0.2
Kentavious Caldwell-Pope\caldwke01,12.6,.568,2.8,-1.5,0.3
Facundo Campazzo\campafa01,11.1,.503,2.0,-0.8,0.4
Vlatko Čančar\cancavl01,12.7,.657,0.4,-1.7,0.0
Devin Cannady\cannade01,8.6,.531,0.1,-3.2,0.0
Clint Capela\capelca01,21.4,.604,8.3,2.0,2.1
Vernon Carey Jr.\careyve01,15.8,.534,0.1,-7.5,-0.1
Vernon Carey Jr.\careyve01,17.2,.546,0.0,-8.0,0.0
Vernon Carey Jr.\careyve01,15.0,.526,0.0,-7.3,0.0
Jevon Carter\carteje01,9.6,.531,1.2,-2.2,-0.1
Jevon Carter\carteje01,6.5,.462,-0.1,-4.4,-0.3
Jevon Carter\carteje01,14.4,.679,1.2,1.2,0.3
Wendell Carter Jr.\cartewe01,18.4,.601,5.0,1.6,1.7
Alex Caruso\carusal01,11.7,.528,2.0,0.2,0.6
Willie Cauley-Stein\caulewi01,8.3,.474,0.2,-3.0,0.0
Willie Cauley-Stein\caulewi01,8.4,.474,0.2,-3.1,0.0
Willie Cauley-Stein\caulewi01,4.2,,0.0,1.2,0.0
Ahmad Caver\caverah01,76.2,1.000,0.0,36.5,0.0
Justin Champagnie\champju01,13.6,.571,0.8,-2.0,0.0
Zylan Cheatham\cheatzy01,-23.8,.000,-0.1,-30.6,0.0
Chris Chiozza\chiozch01,4.4,.407,0.0,-6.0,-0.4
Marquese Chriss\chrisma01,14.8,.518,0.8,-3.8,-0.2
Josh Christopher\chrisjo01,12.2,.534,0.3,-3.5,-0.5
Gary Clark\clarkga01,11.4,.547,0.7,0.1,0.2
Brandon Clarke\clarkbr01,23.7,.660,6.3,4.2,2.0
Jordan Clarkson\clarkjo01,14.9,.532,3.5,-0.6,0.7
Nic Claxton\claxtni01,18.6,.672,3.5,0.4,0.6
Amir Coffey\coffeam01,13.0,.598,3.8,-0.3,0.7
John Collins\collijo01,18.7,.610,5.1,1.5,1.5
Zach Collins\colliza01,16.4,.594,1.2,-0.2,0.2
Darren Collison\collida01,-0.2,.286,-0.1,-10.9,-0.1
Mike Conley\conlemi01,17.2,.572,6.7,3.1,2.7
Pat Connaughton\connapa01,13.4,.620,4.4,1.2,1.4
Tyler Cook\cookty01,13.0,.643,0.5,-4.1,-0.1
Sharife Cooper\coopesh01,-5.4,.250,-0.2,-16.3,-0.1
Petr Cornelie\cornepe01,9.6,.418,0.0,-8.8,-0.1
DeMarcus Cousins\couside01,18.2,.567,1.6,-1.6,0.1
DeMarcus Cousins\couside01,19.0,.572,1.0,0.6,0.2
DeMarcus Cousins\couside01,17.6,.565,0.6,-3.1,-0.1
Robert Covington\covinro01,12.4,.572,3.2,0.2,1.1
Robert Covington\covinro01,10.0,.519,1.1,-1.3,0.3
Robert Covington\covinro01,19.4,.677,2.1,4.1,0.8
Torrey Craig\craigto01,11.0,.556,2.3,-1.8,0.1
Torrey Craig\craigto01,10.8,.555,1.2,-2.2,-0.1
Torrey Craig\craigto01,11.4,.558,1.1,-1.1,0.1
