Player,PER,TS%,WS,BPM,VORP
Álex Abrines\abrinal01,6.3,.507,0.6,-3.3,-0.2
Quincy Acy\acyqu01,2.9,.379,-0.1,-8.1,-0.2
Jaylen Adams\adamsja01,7.6,.474,0.1,-4.3,-0.2
Steven Adams\adamsst01,18.5,.591,9.1,1.1,2.1
Bam Adebayo\adebaba01,17.9,.623,6.8,1.8,1.8
Deng Adel\adelde01,2.7,.424,-0.2,-7.5,-0.3
DeVaughn Akoon-Purcell\akoonde01,8.2,.322,0.0,-5.8,0.0
LaMarcus Aldridge\aldrila01,22.9,.576,9.3,1.8,2.6
Rawle Alkins\alkinra01,8.1,.418,-0.1,-7.3,-0.2
Grayson Allen\allengr01,7.5,.516,0.0,-6.3,-0.5
Jarrett Allen\allenja01,18.5,.632,7.6,1.6,1.9
Kadeem Allen\allenka01,16.2,.574,1.0,0.5,0.3
Al-Farouq Aminu\aminual01,13.2,.568,5.8,0.7,1.5
Justin Anderson\anderju01,11.2,.516,0.4,-2.7,-0.1
Kyle Anderson\anderky01,12.8,.569,2.7,0.8,0.9
Ryan Anderson\anderry01,4.6,.414,-0.2,-6.4,-0.4
Ryan Anderson\anderry01,4.6,.423,-0.2,-6.3,-0.3
Ryan Anderson\anderry01,4.5,.354,0.0,-6.5,0.0
Ike Anigbogu\anigbik01,-6.0,.000,-0.1,-16.2,0.0
Giannis Antetokounmpo\antetgi01,30.9,.644,14.4,10.4,7.4
Kostas Antetokounmpo\antetko01,-0.9,.210,-0.1,-12.7,0.0
Carmelo Anthony\anthoca01,10.9,.513,0.3,-2.7,-0.1
OG Anunoby\anunoog01,9.8,.544,2.0,-2.4,-0.1
Ryan Arcidiacono\arcidry01,11.6,.588,3.7,-1.9,0.1
Trevor Ariza\arizatr01,12.1,.534,2.5,-1.3,0.4
Trevor Ariza\arizatr01,10.5,.525,0.6,-1.1,0.2
Trevor Ariza\arizatr01,13.0,.538,1.9,-1.4,0.2
D.J. Augustin\augusdj01,15.7,.616,6.9,0.5,1.4
Deandre Ayton\aytonde01,20.5,.608,5.8,0.2,1.2
Dwayne Bacon\bacondw01,11.7,.570,1.2,-3.7,-0.3
Marvin Bagley III\baglema01,18.9,.562,3.6,-1.0,0.4
Ron Baker\bakerro01,2.5,.309,-0.1,-7.0,-0.2
Ron Baker\bakerro01,4.4,.376,0.0,-6.6,-0.1
Ron Baker\bakerro01,-2.0,.000,-0.1,-7.9,-0.1
Wade Baldwin\baldwwa01,1.3,.396,-0.3,-10.3,-0.2
Lonzo Ball\balllo01,11.7,.487,1.6,-0.3,0.6
Mo Bamba\bambamo01,14.9,.539,1.7,-1.4,0.1
J.J. Barea\bareajo01,16.3,.495,1.0,-0.6,0.3
Harrison Barnes\barneha02,12.8,.550,3.6,-1.4,0.4
Harrison Barnes\barneha02,13.1,.538,1.9,-1.2,0.3
Harrison Barnes\barneha02,12.3,.578,1.7,-1.7,0.1
Will Barton\bartowi01,11.0,.501,1.2,-1.8,0.0
Keita Bates-Diop\bateske01,9.6,.489,0.3,-3.4,-0.2
Nicolas Batum\batumni01,11.9,.581,3.7,-0.3,1.0
Jerryd Bayless\bayleje01,8.5,.431,0.0,-4.6,-0.4
Aron Baynes\baynear01,14.0,.567,2.4,-1.5,0.1
Kent Bazemore\bazemke01,11.9,.507,0.7,-2.3,-0.1
Bradley Beal\bealbr01,20.8,.581,7.6,2.9,3.7
Malik Beasley\beaslma01,14.2,.599,4.5,0.1,1.0
Michael Beasley\beaslmi01,15.9,.532,0.2,-1.5,0.0
Marco Belinelli\belinma01,11.9,.557,2.5,-1.7,0.1
Jordan Bell\belljo01,12.9,.531,1.6,-0.9,0.2
