Player,G,MP,FG%,3P%,eFG%,TRB,AST,STL,BLK,PTS
Precious Achiuwa\achiupr01,61,12.1,.544,.000,.544,3.4,0.5,0.3,0.5,5.0
Jaylen Adams\adamsja01,7,2.6,.125,.000,.125,0.4,0.3,0.0,0.0,0.3
Steven Adams\adamsst01,58,27.7,.614,.000,.614,8.9,1.9,0.9,0.7,7.6
Bam Adebayo\adebaba01,64,33.5,.570,.250,.571,9.0,5.4,1.2,1.0,18.7
LaMarcus Aldridge\aldrila01,26,25.9,.473,.388,.525,4.5,1.9,0.4,1.1,13.5
LaMarcus Aldridge\aldrila01,21,25.9,.464,.360,.518,4.5,1.7,0.4,0.9,13.7
LaMarcus Aldridge\aldrila01,5,26.0,.521,.800,.563,4.8,2.6,0.6,2.2,12.8
Ty-Shon Alexander\alexaty01,15,3.1,.250,.222,.333,0.7,0.4,0.0,0.1,0.6
Nickeil Alexander-Walker\alexani01,46,21.9,.419,.347,.502,3.1,2.2,1.0,0.5,11.0
Grayson Allen\allengr01,50,25.2,.418,.391,.547,3.2,2.2,0.9,0.2,10.6
Jarrett Allen\allenja01,63,29.6,.618,.316,.624,10.0,1.7,0.5,1.4,12.8
Jarrett Allen\allenja01,12,26.7,.677,,.677,10.4,1.7,0.6,1.6,11.2
Jarrett Allen\allenja01,51,30.3,.609,.316,.616,9.9,1.7,0.5,1.4,13.2
Al-Farouq Aminu\aminual01,23,18.9,.384,.216,.424,4.8,1.3,0.8,0.4,4.4
Al-Farouq Aminu\aminual01,17,21.6,.404,.226,.444,5.4,1.7,1.0,0.5,5.5
Al-Farouq Aminu\aminual01,6,11.2,.200,.167,.250,3.2,0.3,0.3,0.0,1.5
Kyle Anderson\anderky01,69,27.3,.468,.360,.540,5.7,3.6,1.2,0.8,12.4
Giannis Antetokounmpo\antetgi01,61,33.0,.569,.303,.600,11.0,5.9,1.2,1.2,28.1
Kostas Antetokounmpo\antetko01,15,3.7,.300,,.300,1.3,0.1,0.1,0.3,0.8
Thanasis Antetokounmpo\antetth01,57,9.7,.489,.241,.515,2.2,0.8,0.4,0.2,2.9
Carmelo Anthony\anthoca01,69,24.5,.421,.409,.506,3.1,1.5,0.7,0.6,13.4
Cole Anthony\anthoco01,47,27.1,.397,.337,.449,4.7,4.1,0.6,0.4,12.9
OG Anunoby\anunoog01,43,33.3,.480,.398,.580,5.5,2.2,1.5,0.7,15.9
Ryan Arcidiacono\arcidry01,44,10.2,.419,.373,.526,1.5,1.3,0.2,0.0,3.1
Trevor Ariza\arizatr01,30,28.0,.411,.350,.515,4.8,1.8,1.0,0.6,9.4
D.J. Augustin\augusdj01,57,19.8,.394,.382,.515,1.6,3.3,0.5,0.0,7.7
D.J. Augustin\augusdj01,37,19.3,.370,.380,.497,1.4,3.0,0.5,0.0,6.1
D.J. Augustin\augusdj01,20,20.8,.424,.386,.536,2.2,3.9,0.4,0.0,10.6
Deni Avdija\avdijde01,54,23.3,.417,.315,.502,4.9,1.2,0.6,0.3,6.3
Deandre Ayton\aytonde01,69,30.7,.626,.200,.629,10.5,1.4,0.6,1.2,14.4
Udoka Azubuike\azubuud01,15,3.8,.444,,.444,0.9,0.0,0.1,0.3,1.1
Dwayne Bacon\bacondw01,72,25.7,.402,.285,.443,3.1,1.3,0.6,0.1,10.9
Marvin Bagley III\baglema01,43,25.9,.504,.343,.542,7.4,1.0,0.5,0.5,14.1
LaMelo Ball\ballla01,51,28.8,.436,.352,.504,5.9,6.1,1.6,0.4,15.7
Lonzo Ball\balllo01,55,31.8,.414,.378,.537,4.8,5.7,1.5,0.6,14.6
Mo Bamba\bambamo01,46,15.8,.472,.322,.535,5.8,0.8,0.3,1.3,8.0
Desmond Bane\banede01,68,22.3,.469,.432,.586,3.1,1.7,0.6,0.2,9.2
Harrison Barnes\barneha02,58,36.2,.497,.391,.575,6.6,3.5,0.7,0.2,16.1
RJ Barrett\barrerj01,72,34.9,.441,.401,.499,5.8,3.0,0.7,0.3,17.6
Will Barton\bartowi01,56,31.0,.426,.381,.507,4.0,3.2,0.9,0.4,12.7
Keita Bates-Diop\bateske01,30,8.2,.448,.294,.485,1.6,0.4,0.4,0.2,2.6
Nicolas Batum\batumni01,67,27.4,.464,.404,.597,4.7,2.2,1.0,0.6,8.1
Aron Baynes\baynear01,53,18.5,.441,.262,.485,5.2,0.9,0.3,0.4,6.1
Kent Bazemore\bazemke01,67,19.9,.449,.408,.545,3.4,1.6,1.0,0.5,7.2
