Player,G,MP,FG%,3P%,eFG%,TRB,AST,STL,BLK,PTS
Jonah Bolden\boldejo01,4,3.5,.667,.000,.667,0.3,0.0,0.3,0.0,1.0
Jonah Bolden\boldejo01,3,11.0,.250,.000,.250,2.7,0.0,0.7,0.7,2.0
Marques Bolden\boldema01,1,3.0,,,,2.0,0.0,1.0,0.0,0.0
Jordan Bone\bonejo01,10,5.3,.250,.200,.300,0.4,0.8,0.1,0.0,1.2
Isaac Bonga\bongais01,66,18.9,.504,.352,.558,3.4,1.2,0.7,0.3,5.0
Devin Booker\bookede01,70,35.9,.489,.354,.544,4.2,6.5,0.7,0.3,26.6
Chris Boucher\bouchch01,62,13.2,.472,.322,.535,4.5,0.4,0.4,1.0,6.6
Brian Bowen\bowenbr02,6,5.2,.300,.000,.300,1.2,0.0,0.0,0.2,1.0
Ky Bowman\bowmaky01,45,22.6,.417,.308,.469,2.7,2.9,1.0,0.2,7.4
Avery Bradley\bradlav01,49,24.2,.444,.364,.526,2.3,1.3,0.9,0.1,8.6
Tony Bradley\bradlto01,58,11.4,.667,1.000,.675,4.6,0.4,0.2,0.6,4.9
Jarrell Brantley\brantja01,9,10.7,.357,.231,.411,2.2,1.2,0.3,0.6,2.7
Ignas Brazdeikis\brazdig01,9,5.9,.273,.111,.295,0.6,0.4,0.0,0.1,1.9
Corey Brewer\breweco01,5,6.6,.500,.000,.500,1.6,0.4,0.8,0.0,1.0
Mikal Bridges\bridgmi01,73,28.0,.510,.361,.583,4.0,1.8,1.4,0.6,9.1
Miles Bridges\bridgmi02,65,30.7,.424,.330,.489,5.6,1.8,0.6,0.7,13.0
Oshae Brissett\brissos01,19,7.1,.361,.200,.403,1.4,0.4,0.2,0.1,1.9
Ryan Broekhoff\broekry01,17,10.6,.373,.392,.542,2.5,0.6,0.3,0.2,4.2
Malcolm Brogdon\brogdma01,54,30.9,.438,.326,.489,4.9,7.1,0.6,0.2,16.5
Dillon Brooks\brookdi01,73,28.9,.407,.358,.476,3.3,2.1,0.9,0.4,16.2
Bruce Brown\brownbr01,58,28.2,.443,.344,.480,4.7,4.0,1.1,0.5,8.9
Charlie Brown Jr.\brownch02,10,4.0,.316,.333,.395,0.4,0.2,0.2,0.2,2.0
Jaylen Brown\brownja02,57,33.9,.481,.382,.554,6.4,2.1,1.1,0.4,20.3
Moses Brown\brownmo01,9,3.7,.400,,.400,1.6,0.1,0.1,0.1,1.2
Sterling Brown\brownst02,52,14.8,.371,.324,.457,3.5,1.0,0.6,0.1,5.1
Troy Brown Jr.\browntr01,69,25.8,.439,.341,.488,5.6,2.6,1.2,0.1,10.4
Jalen Brunson\brunsja01,57,17.9,.466,.358,.522,2.4,3.3,0.4,0.1,8.2
Thomas Bryant\bryanth01,46,24.9,.581,.407,.626,7.2,1.8,0.5,1.1,13.2
Reggie Bullock\bullore01,29,23.6,.402,.333,.484,2.3,1.4,0.9,0.1,8.1
Trey Burke\burketr01,33,15.8,.450,.427,.526,1.5,2.5,0.5,0.1,7.4
Trey Burke\burketr01,25,13.2,.465,.421,.528,1.4,2.1,0.3,0.0,5.9
Trey Burke\burketr01,8,23.9,.427,.432,.524,1.9,3.8,1.1,0.1,12.0
Alec Burks\burksal01,66,26.6,.418,.385,.493,4.3,2.9,0.9,0.3,15.0
Alec Burks\burksal01,48,29.0,.406,.375,.476,4.7,3.1,1.0,0.4,16.1
Alec Burks\burksal01,18,20.2,.461,.416,.557,3.1,2.1,0.7,0.0,12.2
Deonte Burton\burtode02,39,9.1,.344,.189,.384,1.5,0.4,0.2,0.3,2.7
Jimmy Butler\butleji01,58,33.8,.455,.244,.474,6.7,6.0,1.8,0.6,19.9
Bruno Caboclo\cabocbr01,30,8.1,.427,.182,.461,2.0,0.4,0.5,0.6,3.0
Bruno Caboclo\cabocbr01,22,8.7,.406,.160,.435,2.0,0.5,0.5,0.5,2.8
Bruno Caboclo\cabocbr01,8,6.5,.500,.250,.550,2.0,0.3,0.6,0.6,3.5
Devontae Cacok\cacokde01,1,9.0,.500,,.500,5.0,1.0,0.0,0.0,6.0
Kentavious Caldwell-Pope\caldwke01,69,25.5,.467,.385,.558,2.1,1.6,0.8,0.2,9.3
Vlatko Čančar\cancavl01,14,3.2,.400,.167,.433,0.7,0.2,0.1,0.1,1.2
Clint Capela\capelca01,39,32.8,.629,,.629,13.8,1.2,0.8,1.8,13.9
DeMarre Carroll\carrode01,24,12.1,.379,.242,.439,2.3,1.0,0.3,0.2,3.6
DeMarre Carroll\carrode01,15,9.0,.310,.231,.362,2.1,0.7,0.1,0.1,2.2
DeMarre Carroll\carrode01,9,17.2,.432,.250,.500,2.7,1.6,0.7,0.3,6.0
Jevon Carter\carteje01,58,16.3,.416,.425,.543,2.0,1.4,0.8,0.3,4.9
Vince Carter\cartevi01,60,14.6,.352,.302,.452,2.1,0.8,0.4,0.4,5.0
Wendell Carter Jr.\cartewe01,43,29.2,.534,.207,.542,9.4,1.2,0.8,0.8,11.3
Michael Carter-Williams\cartemi01,45,18.5,.427,.293,.469,3.3,2.4,1.1,0.5,7.2
Alex Caruso\carusal01,64,18.4,.412,.333,.481,1.9,1.9,1.1,0.3,5.5
Willie Cauley-Stein\caulewi01,54,20.3,.579,.000,.579,5.8,1.3,0.9,1.1,7.2
Willie Cauley-Stein\caulewi01,41,22.9,.560,,.560,6.2,1.5,1.1,1.2,7.9
Willie Cauley-Stein\caulewi01,13,12.1,.689,.000,.689,4.6,0.8,0.3,0.8,5.2
Tyson Chandler\chandty01,26,8.4,.778,,.778,2.5,0.2,0.2,0.3,1.3
Wilson Chandler\chandwi01,35,21.0,.404,.306,.505,4.1,1.1,0.5,0.3,5.9
Joe Chealey\chealjo01,4,8.3,.000,.000,.000,0.0,0.3,1.0,0.0,0.5
Zylan Cheatham\cheatzy01,4,12.8,.667,.000,.667,2.3,0.8,0.3,0.3,3.0
Chris Chiozza\chiozch01,28,14.3,.393,.375,.489,1.9,3.0,0.8,0.1,5.1
Chris Chiozza\chiozch01,10,12.3,.294,.438,.397,1.5,2.8,1.0,0.2,2.7
Chris Chiozza\chiozch01,18,15.4,.425,.357,.519,2.1,3.1,0.6,0.1,6.4
Marquese Chriss\chrisma01,59,20.3,.545,.205,.556,6.2,1.9,0.7,1.1,9.3
Gary Clark\clarkga01,42,13.5,.406,.351,.553,2.6,0.4,0.1,0.5,3.7
Gary Clark\clarkga01,18,11.8,.390,.353,.542,2.2,0.7,0.1,0.4,3.9
Gary Clark\clarkga01,24,14.8,.419,.350,.561,2.9,0.2,0.2,0.6,3.6
Brandon Clarke\clarkbr01,58,22.4,.618,.359,.642,5.9,1.4,0.6,0.8,12.1
