Player,G,MP,FG%,3P%,eFG%,TRB,AST,STL,BLK,PTS
Álex Abrines\abrinal01,75,15.1,.395,.380,.540,1.5,0.4,0.5,0.1,4.7
Quincy Acy\acyqu01,70,19.4,.356,.349,.496,3.7,0.8,0.5,0.4,5.9
Steven Adams\adamsst01,76,32.7,.629,.000,.629,9.0,1.2,1.2,1.0,13.9
Bam Adebayo\adebaba01,69,19.8,.512,.000,.512,5.5,1.5,0.5,0.6,6.9
Arron Afflalo\afflaar01,53,12.9,.401,.386,.485,1.2,0.6,0.1,0.2,3.4
Cole Aldrich\aldrico01,21,2.3,.333,,.333,0.7,0.1,0.1,0.0,0.6
LaMarcus Aldridge\aldrila01,75,33.5,.510,.293,.520,8.5,2.0,0.6,1.2,23.1
Jarrett Allen\allenja01,72,20.0,.589,.333,.596,5.4,0.7,0.4,1.2,8.2
Kadeem Allen\allenka01,18,5.9,.273,.000,.273,0.6,0.7,0.2,0.1,1.1
Tony Allen\allento01,22,12.4,.484,.333,.505,2.1,0.4,0.5,0.1,4.7
Al-Farouq Aminu\aminual01,69,30.0,.395,.369,.503,7.6,1.2,1.1,0.6,9.3
Justin Anderson\anderju01,38,13.7,.431,.330,.515,2.4,0.7,0.4,0.2,6.2
Kyle Anderson\anderky01,74,26.7,.527,.333,.549,5.4,2.7,1.6,0.8,7.9
Ryan Anderson\anderry01,66,26.1,.431,.386,.568,5.0,0.9,0.4,0.3,9.3
Ike Anigbogu\anigbik01,11,2.7,.444,,.444,0.8,0.0,0.1,0.3,1.2
Giannis Antetokounmpo\antetgi01,75,36.7,.529,.307,.545,10.0,4.8,1.5,1.4,26.9
Carmelo Anthony\anthoca01,78,32.1,.404,.357,.476,5.8,1.3,0.6,0.6,16.2
OG Anunoby\anunoog01,74,20.0,.471,.371,.577,2.5,0.7,0.7,0.2,5.9
Ryan Arcidiacono\arcidry01,24,12.7,.415,.290,.524,1.0,1.5,0.5,0.0,2.0
Trevor Ariza\arizatr01,67,33.9,.412,.368,.542,4.4,1.6,1.5,0.2,11.7
Darrell Arthur\arthuda01,19,7.4,.468,.348,.553,0.8,0.5,0.4,0.2,2.8
Jamel Artis\artisja01,15,18.6,.392,.276,.443,2.5,1.2,0.1,0.2,5.1
Ömer Aşık\asikom01,18,10.1,.409,,.409,2.6,0.2,0.1,0.2,1.2
Ömer Aşık\asikom01,14,8.6,.438,,.438,2.6,0.1,0.1,0.1,1.3
Ömer Aşık\asikom01,4,15.3,.333,,.333,2.5,0.3,0.3,0.5,1.0
D.J. Augustin\augusdj01,75,23.5,.452,.419,.557,2.1,3.8,0.7,0.0,10.2
Luke Babbitt\babbilu01,50,14.3,.423,.385,.563,1.9,0.6,0.2,0.1,5.2
Luke Babbitt\babbilu01,37,15.4,.476,.441,.622,2.2,0.7,0.2,0.1,6.1
Luke Babbitt\babbilu01,13,11.2,.234,.244,.351,1.2,0.4,0.1,0.2,2.5
Dwayne Bacon\bacondw01,53,13.5,.375,.256,.404,2.3,0.7,0.3,0.0,3.3
Ron Baker\bakerro01,29,13.3,.339,.333,.432,1.0,1.6,0.9,0.2,2.4
Wade Baldwin\baldwwa01,7,11.4,.667,.800,.762,1.1,0.7,0.3,0.1,5.4
Lonzo Ball\balllo01,52,34.2,.360,.305,.440,6.9,7.2,1.7,0.8,10.2
J.J. Barea\bareajo01,69,23.2,.439,.367,.522,2.9,6.3,0.5,0.0,11.6
Harrison Barnes\barneha02,77,34.2,.445,.357,.494,6.1,2.0,0.6,0.2,18.9
Will Barton\bartowi01,81,33.1,.452,.370,.528,5.0,4.1,1.0,0.6,15.7
Nicolas Batum\batumni01,64,31.0,.415,.336,.486,4.8,5.5,1.0,0.4,11.6
Jerryd Bayless\bayleje01,39,23.7,.416,.370,.519,2.1,1.4,0.6,0.2,7.9
Aron Baynes\baynear01,81,18.3,.471,.143,.474,5.4,1.1,0.3,0.6,6.0
Kent Bazemore\bazemke01,65,27.5,.420,.394,.500,3.8,3.5,1.5,0.7,12.9
Bradley Beal\bealbr01,82,36.3,.460,.375,.527,4.4,4.5,1.2,0.4,22.6
Malik Beasley\beaslma01,62,9.4,.410,.341,.489,1.1,0.5,0.2,0.1,3.2
Michael Beasley\beaslmi01,74,22.3,.507,.395,.528,5.6,1.7,0.5,0.6,13.2
Marco Belinelli\belinma01,80,24.3,.441,.377,.539,1.9,1.9,0.8,0.2,12.1
Marco Belinelli\belinma01,52,23.3,.410,.372,.505,1.9,2.0,0.9,0.1,11.4
Marco Belinelli\belinma01,28,26.3,.495,.385,.597,1.8,1.6,0.7,0.3,13.6
Jordan Bell\belljo01,57,14.2,.627,.000,.627,3.6,1.8,0.6,1.0,4.6
DeAndre' Bembry\bembrde01,26,17.5,.414,.367,.457,2.8,1.9,0.8,0.5,5.2
Dragan Bender\bendedr01,82,25.2,.386,.366,.508,4.4,1.6,0.3,0.6,6.5
Dāvis Bertāns\bertada01,77,14.1,.440,.373,.568,2.0,1.0,0.3,0.4,5.9
Patrick Beverley\beverpa01,11,30.4,.403,.400,.504,4.1,2.9,1.7,0.5,12.2
Khem Birch\birchkh01,42,13.8,.540,,.540,4.3,0.8,0.4,0.5,4.2
Jabari Bird\birdja01,13,8.8,.577,.429,.635,1.5,0.6,0.2,0.1,3.0
Bismack Biyombo\biyombi01,82,18.2,.520,.000,.520,5.7,0.8,0.3,1.2,5.7
Nemanja Bjelica\bjeline01,67,20.5,.461,.415,.563,4.1,1.3,0.7,0.2,6.8
Tarik Black\blackta01,51,10.5,.591,.091,.594,3.2,0.3,0.4,0.6,3.5
Antonio Blakeney\blakean01,19,16.5,.371,.288,.423,1.7,1.1,0.4,0.1,7.9
Eric Bledsoe\bledser01,74,31.4,.473,.347,.536,3.8,5.0,2.0,0.6,17.7
Eric Bledsoe\bledser01,3,27.7,.400,.308,.450,2.3,3.0,1.3,0.7,15.7
Eric Bledsoe\bledser01,71,31.5,.476,.349,.540,3.9,5.1,2.0,0.6,17.8
Vander Blue\blueva01,5,9.0,.200,.000,.200,0.2,0.6,0.2,0.0,0.6
Bogdan Bogdanović\bogdabo01,78,27.9,.446,.392,.529,2.9,3.3,0.9,0.2,11.8
Bojan Bogdanović\bogdabo02,80,30.8,.474,.402,.565,3.4,1.5,0.7,0.1,14.3
Andrew Bogut\bogutan01,24,9.0,.680,,.680,3.3,0.6,0.2,0.5,1.5
Joel Bolomboy\bolomjo01,6,6.3,.500,.000,.500,1.7,0.0,0.3,0.0,1.5
Devin Booker\bookede01,54,34.5,.432,.383,.501,4.5,4.7,0.9,0.3,24.9
Trevor Booker\booketr01,68,17.0,.516,.242,.528,4.7,1.2,0.4,0.3,6.3
Trevor Booker\booketr01,18,21.9,.513,.250,.523,6.6,2.1,0.4,0.3,10.1
Trevor Booker\booketr01,33,15.0,.560,.286,.569,3.7,0.8,0.5,0.3,4.7
Trevor Booker\booketr01,17,15.8,.464,.214,.482,4.5,1.0,0.2,0.3,5.4
Chris Boucher\bouchch01,1,1.0,.000,.000,.000,1.0,0.0,0.0,0.0,0.0
Avery Bradley\bradlav01,46,31.2,.414,.369,.474,2.5,2.0,1.1,0.2,14.3
Avery Bradley\bradlav01,40,31.7,.409,.381,.474,2.4,2.1,1.2,0.2,15.0
Avery Bradley\bradlav01,6,27.5,.473,.111,.482,3.7,1.8,0.8,0.2,9.2
Tony Bradley\bradlto01,9,3.2,.273,.000,.273,1.2,0.1,0.0,0.0,0.9
Corey Brewer\breweco01,72,16.8,.449,.282,.498,2.1,0.9,1.1,0.2,5.3
Corey Brewer\breweco01,54,12.9,.453,.186,.477,1.7,0.8,0.8,0.1,3.7
Corey Brewer\breweco01,18,28.6,.444,.343,.524,3.4,1.3,2.1,0.3,10.1
Malcolm Brogdon\brogdma01,48,29.9,.485,.385,.547,3.3,3.2,0.9,0.3,13.0
Aaron Brooks\brookaa01,32,5.9,.406,.355,.486,0.5,0.6,0.2,0.0,2.3
Dillon Brooks\brookdi01,82,28.7,.440,.356,.501,3.1,1.6,0.9,0.2,11.0
MarShon Brooks\brookma01,7,27.6,.500,.594,.593,3.0,3.6,1.6,0.4,20.1
Anthony Brown\brownan02,1,4.0,1.000,1.000,1.500,0.0,1.0,0.0,0.0,3.0
Bobby Brown\brownbo02,20,5.8,.328,.275,.422,0.4,0.6,0.2,0.0,2.5
Jaylen Brown\brownja02,70,30.7,.465,.395,.540,4.9,1.6,1.0,0.4,14.5
Lorenzo Brown\brownlo01,14,9.9,.412,.167,.441,1.1,0.9,0.4,0.0,2.3
Markel Brown\brownma02,4,7.8,.286,.200,.357,1.3,0.5,0.0,0.0,1.3
Sterling Brown\brownst02,54,14.4,.400,.352,.478,2.6,0.5,0.6,0.2,4.0
Nicolás Brussino\brussni01,4,2.5,.000,.000,.000,0.8,0.0,0.0,0.0,0.0
Thomas Bryant\bryanth01,15,4.8,.381,.100,.405,1.1,0.4,0.1,0.1,1.5
Reggie Bullock\bullore01,62,27.9,.489,.445,.603,2.5,1.5,0.8,0.2,11.3
Trey Burke\burketr01,36,21.8,.503,.362,.552,2.0,4.7,0.7,0.1,12.8
Alec Burks\burksal01,64,16.5,.411,.331,.467,3.0,1.0,0.6,0.1,7.7
Jimmy Butler\butleji01,59,36.7,.474,.350,.512,5.3,4.9,2.0,0.4,22.2
Dwight Buycks\buyckdw01,29,14.7,.414,.333,.452,1.4,2.0,0.7,0.1,7.4
Bruno Caboclo\cabocbr01,12,8.9,.290,.176,.339,1.8,0.3,0.3,0.3,2.2
Bruno Caboclo\cabocbr01,2,3.5,.000,.000,.000,0.5,0.5,0.5,0.0,0.0
Bruno Caboclo\cabocbr01,10,10.0,.310,.200,.362,2.1,0.3,0.2,0.4,2.6
José Calderón\caldejo01,57,16.0,.503,.464,.624,1.5,2.1,0.5,0.0,4.5
Kentavious Caldwell-Pope\caldwke01,74,33.2,.426,.383,.526,5.2,2.2,1.4,0.2,13.4
Isaiah Canaan\canaais01,20,21.1,.380,.333,.460,2.3,3.8,0.8,0.1,8.6
Isaiah Canaan\canaais01,1,4.0,.000,,.000,1.0,0.0,0.0,0.0,0.0
Isaiah Canaan\canaais01,19,22.0,.382,.333,.463,2.3,4.0,0.8,0.1,9.1
Clint Capela\capelca01,74,27.5,.652,.000,.652,10.8,0.9,0.8,1.9,13.9
DeMarre Carroll\carrode01,73,29.9,.414,.371,.506,6.6,2.0,0.8,0.4,13.5
Vince Carter\cartevi01,58,17.7,.403,.345,.504,2.6,1.2,0.7,0.4,5.4
Michael Carter-Williams\cartemi01,52,16.1,.332,.237,.362,2.7,2.2,0.8,0.4,4.6
