Player,PER,TS%,WS,BPM,VORP
Thomas Bryant\bryanth01,21.1,.649,3.9,2.2,1.2
Reggie Bullock\bullore01,9.3,.502,0.5,-3.0,-0.2
Trey Burke\burketr01,15.6,.548,1.3,-0.2,0.2
Trey Burke\burketr01,15.4,.545,0.9,-0.5,0.1
Trey Burke\burketr01,16.0,.553,0.5,0.2,0.1
Alec Burks\burksal01,16.7,.561,3.7,0.5,1.1
Alec Burks\burksal01,16.1,.552,2.5,0.1,0.7
Alec Burks\burksal01,19.0,.594,1.2,2.0,0.4
Deonte Burton\burtode02,4.3,.396,-0.5,-6.8,-0.4
Jimmy Butler\butleji01,23.6,.585,9.0,5.4,3.7
Bruno Caboclo\cabocbr01,14.1,.484,0.4,-2.1,0.0
Bruno Caboclo\cabocbr01,11.9,.441,0.2,-2.7,0.0
Bruno Caboclo\cabocbr01,22.1,.618,0.2,0.2,0.0
Devontae Cacok\cacokde01,28.6,.500,0.0,0.2,0.0
Kentavious Caldwell-Pope\caldwke01,11.0,.584,3.7,-0.8,0.5
Vlatko Čančar\cancavl01,11.4,.507,0.1,-4.8,0.0
Clint Capela\capelca01,20.6,.626,4.9,1.4,1.1
DeMarre Carroll\carrode01,9.1,.515,0.3,-3.9,-0.1
DeMarre Carroll\carrode01,4.9,.437,-0.1,-7.0,-0.2
DeMarre Carroll\carrode01,12.8,.578,0.4,-1.1,0.0
Jevon Carter\carteje01,11.3,.563,1.8,0.6,0.6
Vince Carter\cartevi01,7.5,.470,-0.2,-4.3,-0.5
Wendell Carter Jr.\cartewe01,15.5,.590,3.3,-2.4,-0.1
Michael Carter-Williams\cartemi01,15.3,.535,1.9,0.1,0.5
Alex Caruso\carusal01,10.8,.525,2.3,-0.2,0.5
Willie Cauley-Stein\caulewi01,17.0,.589,2.9,0.5,0.7
Willie Cauley-Stein\caulewi01,16.2,.573,2.2,0.0,0.5
Willie Cauley-Stein\caulewi01,22.2,.684,0.7,3.1,0.2
Tyson Chandler\chandty01,10.8,.717,0.6,-1.5,0.0
Wilson Chandler\chandwi01,7.4,.531,0.7,-2.7,-0.1
Joe Chealey\chealjo01,-2.9,.127,-0.1,-12.5,-0.1
Zylan Cheatham\cheatzy01,6.7,.667,0.0,-7.2,-0.1
Chris Chiozza\chiozch01,12.0,.499,0.5,-1.2,0.1
Chris Chiozza\chiozch01,9.2,.397,0.0,-1.5,0.0
Chris Chiozza\chiozch01,13.2,.531,0.5,-1.1,0.1
Marquese Chriss\chrisma01,19.5,.604,3.4,0.6,0.8
Gary Clark\clarkga01,10.7,.568,1.2,-1.9,0.0
Gary Clark\clarkga01,11.8,.564,0.5,-0.6,0.1
Gary Clark\clarkga01,10.1,.571,0.6,-2.6,-0.1
Brandon Clarke\clarkbr01,20.9,.663,5.0,3.1,1.7
Jordan Clarkson\clarkjo01,17.3,.574,3.4,1.1,1.3
Jordan Clarkson\clarkjo01,18.6,.581,1.5,2.7,0.8
Jordan Clarkson\clarkjo01,16.5,.569,1.9,0.0,0.5
Nic Claxton\claxtni01,14.8,.577,0.5,-0.7,0.1
Chris Clemons\clemoch01,13.1,.548,0.4,-1.0,0.1
Antonius Cleveland\clevean01,2.5,.340,-0.1,-10.1,-0.1
Amir Coffey\coffeam01,8.5,.493,0.1,-4.1,-0.1
John Collins\collijo01,23.5,.659,4.9,3.1,1.7
Zach Collins\colliza01,9.9,.538,0.3,-3.1,-0.1
Mike Conley\conlemi01,14.1,.537,2.5,0.3,0.8
Pat Connaughton\connapa01,11.5,.565,3.4,0.6,0.8
Quinn Cook\cookqu01,10.0,.509,0.3,-3.8,-0.2
Tyler Cook\cookty01,19.4,.741,0.2,-0.2,0.0
Tyler Cook\cookty01,23.9,.752,0.2,2.3,0.0
Tyler Cook\cookty01,11.3,.694,0.0,-4.8,0.0
Robert Covington\covinro01,13.3,.559,3.7,0.0,1.1
Robert Covington\covinro01,13.5,.572,2.3,0.0,0.7
Robert Covington\covinro01,13.1,.531,1.4,0.2,0.4
Allen Crabbe\crabbal01,6.0,.470,-0.1,-5.3,-0.5
Allen Crabbe\crabbal01,7.2,.482,0.1,-4.1,-0.3
Allen Crabbe\crabbal01,1.1,.416,-0.2,-9.7,-0.3
Torrey Craig\craigto01,10.8,.553,2.0,-2.3,-0.1
Jamal Crawford\crawfja01,33.2,.625,0.1,15.0,0.0
Jae Crowder\crowdja01,12.5,.553,3.8,-0.1,0.9
Jae Crowder\crowdja01,11.0,.507,1.9,-1.2,0.3
Jae Crowder\crowdja01,16.3,.669,1.9,2.5,0.6
Jarrett Culver\culveja01,9.6,.467,-0.1,-4.0,-0.8
Seth Curry\curryse01,15.5,.643,4.3,0.8,1.2
Stephen Curry\curryst01,21.7,.557,0.3,3.9,0.2
Troy Daniels\danietr01,8.4,.518,0.6,-2.9,-0.1
Troy Daniels\danietr01,9.0,.527,0.7,-2.2,0.0
Troy Daniels\danietr01,5.3,.464,0.0,-7.2,-0.1
Anthony Davis\davisan02,27.4,.610,11.1,8.0,5.4
Ed Davis\davised01,9.5,.489,0.6,-3.2,-0.1
Terence Davis\daviste02,13.8,.588,3.1,0.8,0.8
Dewayne Dedmon\dedmode01,9.4,.473,0.1,-5.8,-0.7
Dewayne Dedmon\dedmode01,8.5,.477,-0.1,-6.4,-0.6
Dewayne Dedmon\dedmode01,11.4,.463,0.2,-4.5,-0.1
Matthew Dellavedova\dellama01,8.1,.463,0.2,-5.2,-0.7
DeMar DeRozan\derozde01,21.6,.603,7.3,1.9,2.3
Cheick Diallo\diallch01,16.5,.688,1.3,-1.3,0.1
Hamidou Diallo\diallha01,9.3,.491,0.4,-3.9,-0.4
Gorgui Dieng\dienggo01,17.1,.568,2.9,1.5,1.0
Gorgui Dieng\dienggo01,17.8,.563,2.1,1.8,0.7
Gorgui Dieng\dienggo01,15.5,.583,0.9,1.0,0.2
Spencer Dinwiddie\dinwisp01,17.8,.541,4.8,1.8,1.9
Donte DiVincenzo\divindo01,14.1,.557,4.3,1.3,1.3
Luka Dončić\doncilu01,27.6,.585,8.8,8.4,5.4
Luguentz Dort\dortlu01,7.6,.506,0.8,-3.7,-0.4
Damyean Dotson\dotsoda01,10.9,.527,0.9,-1.4,0.1
Sekou Doumbouya\doumbse01,6.2,.474,-0.3,-6.7,-0.9
PJ Dozier\doziepj01,11.6,.495,0.4,-3.8,-0.2
Goran Dragić\dragigo01,16.3,.573,3.5,-0.1,0.8
Andre Drummond\drumman01,22.0,.553,4.2,0.9,1.4
Andre Drummond\drumman01,22.1,.550,4.0,1.1,1.3
Andre Drummond\drumman01,21.1,.573,0.3,-0.4,0.1
Jared Dudley\dudleja01,7.8,.558,0.8,-0.7,0.1
Kris Dunn\dunnkr01,12.1,.510,2.3,-0.6,0.4
Carsen Edwards\edwarca01,6.9,.444,0.1,-4.6,-0.2
Henry Ellenson\ellenhe01,-1.3,.143,-0.1,-10.9,0.0
Wayne Ellington\ellinwa01,8.5,.509,0.4,-2.9,-0.1
Joel Embiid\embiijo01,25.8,.590,6.0,4.7,2.5
James Ennis III\ennisja01,11.5,.565,2.4,-2.6,-0.2
James Ennis III\ennisja01,12.3,.564,1.7,-1.5,0.1
James Ennis III\ennisja01,10.3,.566,0.7,-4.4,-0.3
Drew Eubanks\eubandr01,17.3,.682,0.8,-1.8,0.0
Jacob Evans\evansja02,5.5,.436,-0.5,-7.1,-0.5
Jacob Evans\evansja02,5.6,.439,-0.5,-7.0,-0.5
Jacob Evans\evansja02,-9.6,.000,0.0,-16.1,0.0
Dante Exum\exumda01,10.3,.576,0.4,-2.9,-0.1
Dante Exum\exumda01,4.8,.503,-0.1,-5.7,-0.1
Dante Exum\exumda01,11.5,.592,0.5,-2.4,0.0
Tacko Fall\fallta01,28.4,.751,0.2,6.5,0.1
Derrick Favors\favorde01,18.5,.620,4.2,1.0,0.9
Cristiano Felício\feliccr01,12.8,.671,1.0,-3.1,-0.1
Terrance Ferguson\fergute01,3.7,.481,0.6,-4.5,-0.8
Bruno Fernando\fernabr01,11.9,.542,0.8,-4.1,-0.4
Yogi Ferrell\ferreyo01,12.2,.528,0.7,-1.8,0.0
Dorian Finney-Smith\finnedo01,12.3,.595,4.9,-0.2,0.9
Bryn Forbes\forbebr01,11.1,.570,1.5,-2.7,-0.3
Evan Fournier\fournev01,16.4,.595,4.6,1.0,1.6
De'Aaron Fox\foxde01,20.6,.558,4.0,1.8,1.6
Melvin Frazier\frazime01,9.8,.559,0.2,-2.3,0.0
Michael Frazier\frazimi01,-0.9,.384,-0.2,-11.0,-0.3
Tim Frazier\fraziti01,9.8,.464,0.1,-4.6,-0.2
Enes Freedom\kanteen01,22.4,.599,4.4,1.5,0.9
Markelle Fultz\fultzma01,14.3,.517,2.7,-1.8,0.1
Wenyen Gabriel\gabriwe01,9.6,.546,0.2,-3.8,-0.1
Wenyen Gabriel\gabriwe01,7.4,.444,0.0,-3.9,0.0
Wenyen Gabriel\gabriwe01,10.3,.606,0.3,-3.8,-0.1
Daniel Gafford\gaffoda01,16.2,.686,1.9,-1.3,0.1
Danilo Gallinari\gallida01,19.5,.612,6.3,3.3,2.4
