Player,PER,TS%,WS,BPM,VORP
Precious Achiuwa\achiupr01,14.2,.550,1.3,-4.1,-0.4
Jaylen Adams\adamsja01,-6.5,.125,-0.1,-19.8,-0.1
Steven Adams\adamsst01,15.1,.596,4.0,-0.3,0.7
Bam Adebayo\adebaba01,22.7,.626,8.8,4.9,3.7
LaMarcus Aldridge\aldrila01,15.7,.556,1.1,-0.3,0.3
LaMarcus Aldridge\aldrila01,15.1,.545,0.8,-0.9,0.2
LaMarcus Aldridge\aldrila01,18.2,.611,0.4,2.2,0.1
Ty-Shon Alexander\alexaty01,4.2,.349,0.0,-6.5,-0.1
Nickeil Alexander-Walker\alexani01,12.5,.522,0.7,-1.3,0.2
Grayson Allen\allengr01,12.8,.586,2.7,-0.2,0.6
Jarrett Allen\allenja01,20.1,.661,6.4,1.1,1.4
Jarrett Allen\allenja01,21.5,.730,1.4,2.6,0.4
Jarrett Allen\allenja01,19.8,.649,5.0,0.8,1.1
Al-Farouq Aminu\aminual01,8.9,.469,0.1,-3.8,-0.2
Al-Farouq Aminu\aminual01,9.9,.482,0.1,-3.1,-0.1
Al-Farouq Aminu\aminual01,3.0,.369,0.0,-7.3,-0.1
Kyle Anderson\anderky01,17.2,.578,5.6,3.3,2.5
Giannis Antetokounmpo\antetgi01,29.2,.633,10.2,9.0,5.6
Kostas Antetokounmpo\antetko01,0.0,.382,-0.2,-12.6,-0.1
Thanasis Antetokounmpo\antetth01,10.3,.523,0.7,-3.5,-0.2
Carmelo Anthony\anthoca01,14.6,.547,2.6,-1.1,0.4
Cole Anthony\anthoco01,12.1,.496,0.0,-3.3,-0.4
OG Anunoby\anunoog01,15.4,.605,3.1,1.2,1.2
Ryan Arcidiacono\arcidry01,9.8,.541,0.9,-2.3,0.0
Trevor Ariza\arizatr01,11.9,.542,1.6,-1.1,0.2
D.J. Augustin\augusdj01,12.1,.570,2.1,-2.1,0.0
D.J. Augustin\augusdj01,10.2,.542,1.2,-2.2,0.0
D.J. Augustin\augusdj01,15.5,.604,0.9,-2.0,0.0
Deni Avdija\avdijde01,7.6,.515,1.2,-3.1,-0.4
Deandre Ayton\aytonde01,20.3,.653,8.4,1.2,1.7
Udoka Azubuike\azubuud01,10.3,.597,0.1,-3.8,0.0
Dwayne Bacon\bacondw01,9.9,.490,0.5,-5.1,-1.5
Marvin Bagley III\baglema01,16.3,.554,1.4,-3.1,-0.3
LaMelo Ball\ballla01,17.5,.539,2.8,1.8,1.4
Lonzo Ball\balllo01,15.2,.551,3.2,1.7,1.6
Mo Bamba\bambamo01,19.3,.556,1.8,0.1,0.4
Desmond Bane\banede01,12.2,.600,2.9,-0.8,0.5
Harrison Barnes\barneha02,15.4,.626,4.5,0.2,1.1
RJ Barrett\barrerj01,13.4,.535,4.1,-1.2,0.5
Will Barton\bartowi01,11.8,.538,2.2,-1.9,0.1
Keita Bates-Diop\bateske01,12.0,.518,0.3,-1.9,0.0
Nicolas Batum\batumni01,12.9,.617,5.0,2.1,1.9
Aron Baynes\baynear01,10.5,.503,1.0,-4.5,-0.6
Kent Bazemore\bazemke01,10.6,.564,1.8,-1.2,0.2
Darius Bazley\bazleda01,9.7,.491,-0.9,-4.4,-1.0
Bradley Beal\bealbr01,22.7,.593,5.9,3.4,2.9
Malik Beasley\beaslma01,14.6,.570,1.3,-0.2,0.6
Jordan Bell\belljo01,8.0,.328,0.0,-5.8,-0.1
Jordan Bell\belljo01,8.5,.350,0.0,-5.7,-0.1
Jordan Bell\belljo01,5.6,.174,0.0,-6.5,0.0
DeAndre' Bembry\bembrde01,11.2,.570,1.2,-1.9,0.0
Dāvis Bertāns\bertada01,11.4,.620,3.1,-0.8,0.4
Patrick Beverley\beverpa01,12.0,.580,2.1,0.7,0.6
Saddiq Bey\beysa01,12.6,.567,3.3,-0.5,0.7
Tyler Bey\beyty01,5.9,.372,0.0,-9.5,-0.1
Khem Birch\birchkh01,15.1,.552,3.8,-1.0,0.4
Khem Birch\birchkh01,14.1,.517,2.1,-1.6,0.1
Khem Birch\birchkh01,16.9,.596,1.7,0.1,0.3
Goga Bitadze\bitadgo01,16.3,.523,1.5,-1.0,0.1
Bismack Biyombo\biyombi01,11.7,.574,2.3,-3.0,-0.4
Nemanja Bjelica\bjeline01,12.9,.554,0.9,-2.2,0.0
Nemanja Bjelica\bjeline01,12.7,.555,0.5,-2.6,-0.1
Nemanja Bjelica\bjeline01,13.3,.550,0.4,-1.3,0.0
Eric Bledsoe\bledser01,11.5,.533,2.3,-2.0,0.0
Keljin Blevins\blevike01,-0.9,.300,-0.2,-10.7,-0.2
Bogdan Bogdanović\bogdabo01,17.6,.616,3.9,3.6,1.8
Bojan Bogdanović\bogdabo02,14.0,.588,5.2,-0.4,0.9
Bol Bol\bolbo01,9.4,.534,0.0,-4.1,-0.1
Marques Bolden\boldema01,13.3,.537,0.0,-3.0,0.0
Jordan Bone\bonejo01,8.9,.519,0.2,-4.2,-0.1
Isaac Bonga\bongais01,4.0,.461,0.0,-5.8,-0.4
Devin Booker\bookede01,19.2,.587,4.9,0.3,1.3
Chris Boucher\bouchch01,21.9,.634,6.1,3.3,2.0
Brian Bowen\bowenbr02,1.0,.338,0.0,-11.0,0.0
Avery Bradley\bradlav01,6.3,.487,-0.1,-5.4,-0.5
Avery Bradley\bradlav01,10.4,.607,0.3,-2.4,0.0
Avery Bradley\bradlav01,4.0,.409,-0.4,-6.9,-0.5
Tony Bradley\bradlto01,20.7,.678,2.7,1.3,0.6
Tony Bradley\bradlto01,21.1,.683,1.5,3.3,0.4
Tony Bradley\bradlto01,20.4,.676,1.3,-0.2,0.2
Jarrell Brantley\brantja01,16.6,.605,0.5,2.2,0.1
Ignas Brazdeikis\brazdig01,9.5,.510,0.1,-5.3,-0.2
Ignas Brazdeikis\brazdig01,11.2,.532,0.0,-4.1,0.0
Ignas Brazdeikis\brazdig01,-12.0,.000,-0.1,-21.4,0.0
Ignas Brazdeikis\brazdig01,10.2,.528,0.1,-4.8,-0.2
Mikal Bridges\bridgmi01,16.4,.667,8.0,3.3,3.1
Miles Bridges\bridgmi02,14.7,.625,4.2,0.2,1.1
Amida Brimah\brimaam01,16.6,.697,0.0,-4.8,0.0
Oshae Brissett\brissos01,17.2,.638,1.8,0.6,0.3
Malcolm Brogdon\brogdma01,17.9,.561,4.2,2.1,2.0
Armoni Brooks\brookar01,10.4,.565,0.3,-3.2,-0.2
Dillon Brooks\brookdi01,12.1,.515,1.4,-3.7,-0.9
Bruce Brown\brownbr01,16.1,.604,4.4,-0.1,0.7
Charlie Brown Jr.\brownch02,4.1,.422,-0.1,-8.7,-0.3
Jaylen Brown\brownja02,19.9,.586,4.8,2.5,2.3
Moses Brown\brownmo01,18.8,.572,2.6,-2.4,-0.1
Sterling Brown\brownst02,11.1,.597,1.8,-1.6,0.1
Troy Brown Jr.\browntr01,8.5,.525,0.5,-4.0,-0.3
Troy Brown Jr.\browntr01,6.3,.471,-0.1,-5.5,-0.3
Troy Brown Jr.\browntr01,11.2,.616,0.5,-2.2,0.0
Jalen Brunson\brunsja01,17.1,.618,5.1,0.9,1.2
Elijah Bryant\bryanel01,10.6,.559,0.0,-7.3,0.0
Thomas Bryant\bryanth01,18.7,.704,1.0,0.9,0.2
Reggie Bullock\bullore01,11.1,.606,4.6,-0.1,0.9
Trey Burke\burketr01,12.6,.544,1.4,-1.8,0.0
Alec Burks\burksal01,14.8,.564,3.3,1.5,1.1
Jimmy Butler\butleji01,26.5,.607,9.3,7.7,4.3
Bruno Caboclo\cabocbr01,9.0,.475,-0.1,-10.2,-0.1
Devontae Cacok\cacokde01,17.2,.576,0.3,-1.0,0.0
Kentavious Caldwell-Pope\caldwke01,10.7,.588,4.2,-0.5,0.7
Facundo Campazzo\campafa01,11.6,.558,3.1,-0.6,0.5
Vlatko Čančar\cancavl01,9.7,.547,0.3,-2.6,0.0
Devin Cannady\cannade01,11.2,.547,0.1,-3.1,0.0
Clint Capela\capelca01,24.3,.601,8.2,2.7,2.2
Vernon Carey Jr.\careyve01,11.7,.563,0.2,-6.1,-0.1
Jevon Carter\carteje01,12.2,.548,1.6,0.5,0.5
Wendell Carter Jr.\cartewe01,16.7,.566,3.4,-1.3,0.2
Wendell Carter Jr.\cartewe01,16.3,.578,2.1,-1.0,0.2
Wendell Carter Jr.\cartewe01,17.3,.549,1.2,-1.7,0.0
Michael Carter-Williams\cartemi01,9.5,.449,-0.5,-4.8,-0.6
Alex Caruso\carusal01,11.1,.547,2.4,0.0,0.6
Willie Cauley-Stein\caulewi01,14.3,.647,2.8,-1.3,0.2
Chris Chiozza\chiozch01,12.9,.461,0.3,-0.7,0.1
Marquese Chriss\chrisma01,11.8,.412,0.0,-2.1,0.0
Gary Clark\clarkga01,6.0,.436,0.1,-4.9,-0.5
Gary Clark\clarkga01,6.1,.439,0.1,-4.9,-0.5
Gary Clark\clarkga01,2.9,,0.0,-6.5,0.0
Gary Clark\clarkga01,3.8,.000,0.0,-5.9,0.0
Brandon Clarke\clarkbr01,17.3,.560,4.2,1.5,1.3
Jordan Clarkson\clarkjo01,17.1,.549,4.2,1.4,1.6
Nic Claxton\claxtni01,16.9,.612,1.9,0.4,0.4
Amir Coffey\coffeam01,10.1,.585,0.7,-2.0,0.0
John Collins\collijo01,20.6,.645,6.7,2.3,2.0
Mike Conley\conlemi01,19.2,.589,6.1,4.9,2.6
Pat Connaughton\connapa01,11.3,.578,3.5,0.0,0.8
Quinn Cook\cookqu01,12.7,.531,0.2,-1.2,0.0
Quinn Cook\cookqu01,13.8,.585,0.1,-0.4,0.0
Quinn Cook\cookqu01,12.0,.496,0.1,-1.7,0.0
Tyler Cook\cookty01,12.8,.659,0.8,-3.0,-0.1
Tyler Cook\cookty01,1.6,.333,0.0,-6.2,0.0
