Player,G,MP,FG%,3P%,eFG%,TRB,AST,STL,BLK,PTS
Marvin Bagley III\baglema01,48,23.9,.504,.237,.530,7.0,0.8,0.5,0.4,11.3
Marvin Bagley III\baglema01,30,21.9,.463,.242,.494,7.2,0.6,0.3,0.4,9.3
Marvin Bagley III\baglema01,18,27.2,.555,.229,.575,6.8,1.1,0.7,0.4,14.6
LaMelo Ball\ballla01,75,32.3,.429,.389,.517,6.7,7.6,1.6,0.4,20.1
Lonzo Ball\balllo01,35,34.6,.423,.423,.567,5.4,5.1,1.8,0.9,13.0
Mo Bamba\bambamo01,71,25.7,.480,.381,.566,8.1,1.2,0.5,1.7,10.6
Desmond Bane\banede01,76,29.8,.461,.436,.565,4.4,2.7,1.2,0.4,18.2
Dalano Banton\bantoda01,64,10.9,.411,.255,.443,1.9,1.5,0.4,0.2,3.2
Cat Barber\barbeca01,3,4.3,.000,,.000,1.0,1.0,0.0,0.0,0.0
Harrison Barnes\barneha02,77,33.6,.469,.394,.554,5.6,2.4,0.7,0.2,16.4
Scottie Barnes\barnesc01,74,35.4,.492,.301,.524,7.5,3.5,1.1,0.7,15.3
RJ Barrett\barrerj01,70,34.5,.408,.342,.466,5.8,3.0,0.6,0.2,20.0
Will Barton\bartowi01,71,32.1,.438,.365,.525,4.8,3.9,0.8,0.4,14.7
Paris Bass\basspa01,2,3.5,.333,.000,.333,2.0,0.0,0.5,0.0,3.0
Charles Bassey\bassech01,23,7.3,.638,.000,.638,2.7,0.3,0.2,0.7,3.0
Keita Bates-Diop\bateske01,59,16.2,.517,.309,.549,3.9,0.7,0.5,0.2,5.7
Nicolas Batum\batumni01,59,24.8,.463,.400,.602,4.3,1.7,1.0,0.7,8.3
Kent Bazemore\bazemke01,39,14.0,.324,.363,.428,1.8,0.9,0.6,0.2,3.4
Darius Bazley\bazleda01,69,27.9,.422,.297,.484,6.3,1.4,0.8,1.0,10.8
Bradley Beal\bealbr01,40,36.0,.451,.300,.492,4.7,6.6,0.9,0.4,23.2
Malik Beasley\beaslma01,79,25.0,.391,.377,.532,2.9,1.5,0.5,0.2,12.1
Jordan Bell\belljo01,1,2.0,,,,1.0,0.0,1.0,0.0,0.0
DeAndre' Bembry\bembrde01,56,18.3,.561,.417,.595,2.9,1.2,0.9,0.4,5.1
DeAndre' Bembry\bembrde01,48,19.8,.568,.417,.603,3.2,1.3,1.0,0.5,5.8
DeAndre' Bembry\bembrde01,8,9.6,.375,,.375,1.4,0.8,0.3,0.0,0.8
Dāvis Bertāns\bertada01,56,14.4,.360,.335,.500,2.1,0.6,0.3,0.2,5.6
Dāvis Bertāns\bertada01,34,14.7,.351,.319,.485,1.8,0.5,0.3,0.2,5.7
Dāvis Bertāns\bertada01,22,13.9,.375,.360,.524,2.5,0.7,0.3,0.3,5.3
Patrick Beverley\beverpa01,58,25.4,.406,.343,.501,4.1,4.6,1.2,0.9,9.2
Saddiq Bey\beysa01,82,33.0,.396,.346,.489,5.4,2.8,0.9,0.2,16.1
Khem Birch\birchkh01,55,18.0,.485,.000,.485,4.3,1.0,0.5,0.5,4.5
Goga Bitadze\bitadgo01,50,14.6,.520,.288,.565,3.5,1.1,0.4,0.8,7.0
Bismack Biyombo\biyombi01,36,14.1,.593,,.593,4.6,0.6,0.3,0.7,5.8
Nemanja Bjelica\bjeline01,71,16.1,.468,.362,.547,4.1,2.2,0.6,0.4,6.1
Eric Bledsoe\bledser01,54,25.2,.421,.313,.475,3.4,4.2,1.3,0.4,9.9
Keljin Blevins\blevike01,31,11.3,.306,.292,.401,1.5,0.6,0.4,0.0,3.1
Bogdan Bogdanović\bogdabo01,63,29.3,.431,.368,.537,4.0,3.1,1.1,0.2,15.1
Bojan Bogdanović\bogdabo02,69,30.9,.455,.387,.552,4.3,1.7,0.5,0.0,18.1
Bol Bol\bolbo01,14,5.8,.556,.250,.574,1.4,0.4,0.1,0.1,2.4
Leandro Bolmaro\bolmale01,35,6.9,.315,.278,.361,1.2,0.6,0.2,0.0,1.4
Isaac Bonga\bongais01,15,4.6,.231,.250,.269,0.5,0.3,0.5,0.1,0.8
Devin Booker\bookede01,68,34.5,.466,.383,.530,5.0,4.8,1.1,0.4,26.8
Brandon Boston Jr.\bostobr01,51,14.9,.385,.306,.437,2.2,1.0,0.5,0.3,6.7
Chris Boucher\bouchch01,80,21.1,.464,.297,.523,6.2,0.3,0.6,0.9,9.4
James Bouknight\bouknja01,31,9.8,.348,.347,.408,1.7,0.8,0.2,0.0,4.6
Avery Bradley\bradlav01,62,22.7,.423,.390,.540,2.2,0.8,0.9,0.1,6.4
Tony Bradley\bradlto01,55,10.0,.585,,.585,3.4,0.5,0.2,0.6,3.0
Ignas Brazdeikis\brazdig01,42,12.8,.431,.310,.503,1.7,0.9,0.2,0.1,5.0
Mikal Bridges\bridgmi01,82,34.8,.534,.369,.601,4.2,2.3,1.2,0.4,14.2
Miles Bridges\bridgmi02,80,35.5,.491,.331,.554,7.0,3.8,0.9,0.8,20.2
Oshae Brissett\brissos01,67,23.3,.411,.350,.493,5.3,1.1,0.7,0.4,9.1
Malcolm Brogdon\brogdma01,36,33.5,.448,.312,.501,5.1,5.9,0.8,0.4,19.1
Armoni Brooks\brookar01,54,15.6,.339,.297,.467,1.9,1.1,0.5,0.2,5.3
Armoni Brooks\brookar01,41,16.8,.347,.300,.474,2.0,1.2,0.5,0.2,6.2
Armoni Brooks\brookar01,13,11.8,.289,.278,.421,1.7,1.0,0.5,0.2,2.6
Dillon Brooks\brookdi01,32,27.7,.432,.309,.475,3.2,2.8,1.1,0.3,18.4
Bruce Brown\brownbr01,72,24.6,.506,.404,.543,4.8,2.1,1.1,0.7,9.0
Charlie Brown Jr.\brownch02,22,8.0,.256,.083,.269,1.5,0.3,0.5,0.2,1.4
Charlie Brown Jr.\brownch02,3,5.0,.200,.000,.200,0.3,0.3,0.7,0.3,0.7
Charlie Brown Jr.\brownch02,19,8.5,.265,.111,.279,1.6,0.3,0.4,0.2,1.5
Chaundee Brown Jr.\brownch05,5,20.8,.313,.333,.406,3.2,0.8,0.4,0.0,6.2
Chaundee Brown Jr.\brownch05,2,10.5,.143,.000,.143,1.0,0.0,0.0,0.0,1.0
Chaundee Brown Jr.\brownch05,3,27.7,.360,.400,.480,4.7,1.3,0.7,0.0,9.7
Greg Brown III\browngr01,48,13.3,.426,.311,.476,2.8,0.7,0.5,0.5,4.7
Jaylen Brown\brownja02,66,33.6,.473,.358,.541,6.1,3.5,1.1,0.3,23.6
Moses Brown\brownmo01,40,8.6,.593,,.593,3.4,0.0,0.2,0.4,4.3
Moses Brown\brownmo01,26,6.5,.540,,.540,2.3,0.0,0.1,0.3,3.1
Moses Brown\brownmo01,14,12.6,.638,,.638,5.3,0.0,0.3,0.5,6.4
Sterling Brown\brownst02,49,12.8,.381,.304,.471,3.0,0.7,0.3,0.1,3.3
Troy Brown Jr.\browntr01,66,16.0,.419,.353,.510,3.1,1.0,0.5,0.1,4.3
Jalen Brunson\brunsja01,79,31.9,.502,.373,.549,3.9,4.8,0.8,0.0,16.3
Thomas Bryant\bryanth01,27,16.3,.520,.286,.561,4.0,0.9,0.2,0.8,7.4
Shaq Buchanan\buchash01,2,5.0,.250,.000,.250,1.0,1.0,0.5,0.0,1.0
Reggie Bullock\bullore01,68,28.0,.401,.360,.542,3.5,1.2,0.6,0.2,8.6
Trey Burke\burketr01,42,10.5,.391,.317,.451,0.8,1.4,0.3,0.0,5.1
Alec Burks\burksal01,81,28.6,.391,.404,.499,4.9,3.0,1.0,0.3,11.7
Jared Butler\butleja02,42,8.6,.404,.318,.497,1.1,1.5,0.4,0.2,3.8
Jimmy Butler\butleji01,57,33.9,.480,.233,.496,5.9,5.5,1.6,0.5,21.4
Devontae Cacok\cacokde01,15,8.1,.677,,.677,2.8,0.4,0.5,0.5,3.1
Kentavious Caldwell-Pope\caldwke01,77,30.2,.435,.390,.531,3.4,1.9,1.1,0.3,13.2
Facundo Campazzo\campafa01,65,18.2,.361,.301,.459,1.8,3.4,1.0,0.4,5.1
Vlatko Čančar\cancavl01,15,11.7,.561,.583,.646,2.1,1.1,0.1,0.2,4.1
Devin Cannady\cannade01,5,29.0,.341,.405,.511,1.2,2.0,1.0,0.6,10.0
Clint Capela\capelca01,74,27.6,.613,.000,.613,11.9,1.2,0.7,1.3,11.1
Vernon Carey Jr.\careyve01,7,6.3,.538,,.538,1.7,0.0,0.3,0.1,2.9
Vernon Carey Jr.\careyve01,4,4.3,.500,,.500,1.3,0.0,0.3,0.0,2.0
Vernon Carey Jr.\careyve01,3,9.0,.571,,.571,2.3,0.0,0.3,0.3,4.0
Jevon Carter\carteje01,66,13.7,.387,.388,.518,1.7,1.5,0.4,0.2,4.2
Jevon Carter\carteje01,46,12.0,.333,.331,.454,1.5,1.0,0.3,0.2,3.6
Jevon Carter\carteje01,20,17.7,.506,.558,.658,2.2,2.5,0.5,0.2,5.6
Wendell Carter Jr.\cartewe01,62,29.9,.525,.327,.576,10.5,2.8,0.6,0.7,15.0
Alex Caruso\carusal01,41,28.0,.398,.333,.480,3.6,4.0,1.7,0.4,7.4
Willie Cauley-Stein\caulewi01,20,9.2,.457,.500,.471,2.0,0.5,0.3,0.2,1.7
Willie Cauley-Stein\caulewi01,18,9.8,.457,.500,.471,2.1,0.5,0.3,0.2,1.9
Willie Cauley-Stein\caulewi01,2,3.0,,,,1.0,0.5,0.0,0.0,0.0
Ahmad Caver\caverah01,1,1.0,1.000,,1.000,0.0,0.0,0.0,0.0,2.0
Justin Champagnie\champju01,36,7.8,.463,.357,.537,2.0,0.3,0.2,0.1,2.3
Zylan Cheatham\cheatzy01,1,5.0,.000,.000,.000,0.0,0.0,0.0,0.0,0.0
Chris Chiozza\chiozch01,34,10.9,.296,.321,.401,1.1,1.9,0.4,0.0,2.0
Marquese Chriss\chrisma01,34,10.2,.463,.320,.493,3.0,0.5,0.4,0.4,4.5
Josh Christopher\chrisjo01,74,18.0,.448,.296,.504,2.5,2.0,0.9,0.2,7.9
Gary Clark\clarkga01,38,9.9,.375,.400,.534,2.4,0.5,0.3,0.2,2.7
Brandon Clarke\clarkbr01,64,19.5,.644,.227,.650,5.3,1.3,0.6,1.1,10.4
Jordan Clarkson\clarkjo01,79,27.1,.419,.318,.504,3.5,2.5,0.8,0.2,16.0
Nic Claxton\claxtni01,47,20.7,.674,,.674,5.6,0.9,0.5,1.1,8.7
Amir Coffey\coffeam01,69,22.7,.453,.378,.556,2.9,1.8,0.6,0.2,9.0
John Collins\collijo01,54,30.8,.526,.364,.576,7.8,1.8,0.6,1.0,16.2
Zach Collins\colliza01,28,17.9,.490,.341,.535,5.5,2.2,0.5,0.8,7.8
Darren Collison\collida01,3,12.3,.286,.000,.286,1.3,0.7,0.3,0.0,1.3
Mike Conley\conlemi01,72,28.6,.435,.408,.542,3.0,5.3,1.3,0.3,13.7
Pat Connaughton\connapa01,65,26.0,.458,.395,.605,4.2,1.3,0.9,0.2,9.9
Tyler Cook\cookty01,20,10.0,.605,,.605,2.7,0.2,0.2,0.2,3.4
Sharife Cooper\coopesh01,13,3.0,.214,.167,.250,0.4,0.4,0.0,0.0,0.5
Petr Cornelie\cornepe01,13,2.9,.333,.125,.367,1.1,0.2,0.1,0.1,1.1
DeMarcus Cousins\couside01,48,15.0,.460,.303,.517,5.6,1.5,0.7,0.4,9.0
DeMarcus Cousins\couside01,17,16.9,.466,.271,.521,5.8,1.1,0.9,0.5,9.1
DeMarcus Cousins\couside01,31,13.9,.456,.324,.515,5.5,1.7,0.6,0.4,8.9
Robert Covington\covinro01,71,27.3,.420,.378,.548,5.5,1.3,1.5,1.3,8.5
Robert Covington\covinro01,48,29.8,.381,.343,.499,5.7,1.4,1.5,1.3,7.6
Robert Covington\covinro01,23,22.1,.500,.450,.651,5.1,1.0,1.3,1.2,10.4
Torrey Craig\craigto01,78,20.5,.454,.329,.541,4.0,1.2,0.6,0.5,6.6
Torrey Craig\craigto01,51,20.3,.456,.333,.537,3.8,1.1,0.5,0.4,6.5
Torrey Craig\craigto01,27,20.8,.450,.323,.547,4.3,1.2,0.8,0.6,6.9
Jae Crowder\crowdja01,67,28.1,.399,.348,.516,5.3,1.9,1.4,0.4,9.4
Jarrett Culver\culveja01,37,9.1,.378,.255,.422,1.3,0.9,0.5,0.1,3.5
Jarron Cumberland\cumbeja01,3,4.0,.500,.000,.500,1.0,0.3,0.0,0.0,0.7
Cade Cunningham\cunnica01,64,32.6,.416,.314,.471,5.5,5.6,1.2,0.7,17.4
Seth Curry\curryse01,64,33.4,.487,.422,.594,3.1,3.6,0.8,0.2,15.0
Seth Curry\curryse01,45,34.8,.485,.400,.580,3.4,4.0,0.8,0.2,15.0
Seth Curry\curryse01,19,29.9,.493,.468,.630,2.6,2.6,0.9,0.2,14.9
Stephen Curry\curryst01,64,34.5,.437,.380,.554,5.2,6.3,1.3,0.4,25.5
Anthony Davis\davisan02,40,35.1,.532,.186,.542,9.9,3.1,1.2,2.3,23.2
Ed Davis\davised01,31,6.5,.688,,.688,2.1,0.2,0.1,0.3,0.9
Terence Davis\daviste02,30,17.9,.423,.329,.515,3.1,1.3,0.8,0.4,10.4
Gabriel Deck\deckga01,7,8.0,.571,.500,.643,0.9,0.7,0.1,0.0,2.6
Dewayne Dedmon\dedmode01,67,15.9,.566,.404,.598,5.8,0.7,0.4,0.6,6.3
Sam Dekker\dekkesa01,1,1.0,,,,0.0,0.0,0.0,0.0,0.0
Javin DeLaurier\delauja01,1,3.0,,,,1.0,0.0,1.0,0.0,0.0
DeMar DeRozan\derozde01,76,36.1,.504,.352,.521,5.2,4.9,0.9,0.3,27.9
Mamadi Diakite\diakima01,13,14.5,.532,.000,.532,4.5,0.2,0.4,0.7,4.3
Cheick Diallo\diallch01,3,10.3,.375,,.375,4.0,0.0,0.3,0.0,3.7
Hamidou Diallo\diallha01,58,21.9,.496,.247,.518,4.8,1.3,1.2,0.3,11.0
Gorgui Dieng\dienggo01,44,8.4,.473,.426,.603,2.8,0.8,0.3,0.3,3.5
Spencer Dinwiddie\dinwisp01,67,29.6,.416,.339,.493,4.2,5.2,0.7,0.2,13.7
Spencer Dinwiddie\dinwisp01,44,30.2,.376,.310,.447,4.7,5.8,0.6,0.2,12.6
Spencer Dinwiddie\dinwisp01,23,28.3,.498,.404,.584,3.1,3.9,0.7,0.3,15.8
Donte DiVincenzo\divindo01,42,24.0,.351,.339,.461,4.0,2.8,1.1,0.2,9.0
Donte DiVincenzo\divindo01,17,20.1,.331,.284,.419,3.5,1.7,0.6,0.2,7.2
Donte DiVincenzo\divindo01,25,26.6,.362,.368,.484,4.4,3.6,1.5,0.2,10.3
Luka Dončić\doncilu01,65,35.4,.457,.353,.529,9.1,8.7,1.2,0.6,28.4
Luguentz Dort\dortlu01,51,32.6,.404,.332,.493,4.2,1.7,0.9,0.4,17.2
Ayo Dosunmu\dosunay01,77,27.4,.520,.376,.585,2.8,3.3,0.8,0.4,8.8
Damyean Dotson\dotsoda01,2,10.5,.500,.000,.500,1.0,0.5,0.0,0.0,2.0
Devon Dotson\dotsode01,11,7.7,.478,.222,.522,0.8,1.4,0.1,0.0,2.6
Sekou Doumbouya\doumbse01,2,8.0,.625,.500,.688,3.0,0.0,1.5,1.0,7.0
Jeff Dowtin\dowtije01,9,12.0,.308,.111,.327,2.0,1.1,0.6,0.1,2.1
Jeff Dowtin\dowtije01,4,7.0,.500,.000,.500,1.8,0.8,0.0,0.3,1.5
Jeff Dowtin\dowtije01,1,3.0,.000,.000,.000,0.0,0.0,0.0,0.0,0.0
Jeff Dowtin\dowtije01,4,19.3,.263,.143,.289,2.8,1.8,1.3,0.0,3.3
PJ Dozier\doziepj01,18,18.9,.364,.313,.439,3.5,1.6,0.6,0.3,5.4
Goran Dragić\dragigo01,21,23.7,.377,.254,.430,3.1,4.1,0.9,0.2,7.5
Goran Dragić\dragigo01,5,18.0,.382,.286,.441,2.8,1.8,1.0,0.2,8.0
Goran Dragić\dragigo01,16,25.5,.376,.245,.427,3.2,4.8,0.9,0.2,7.3
Andre Drummond\drumman01,73,19.7,.570,.000,.570,9.3,1.8,1.1,0.9,7.9
Andre Drummond\drumman01,49,18.4,.538,.000,.538,8.8,2.0,1.1,0.9,6.1
Andre Drummond\drumman01,24,22.3,.610,.000,.610,10.3,1.4,0.9,1.0,11.8
Chris Duarte\duartch01,55,28.0,.432,.369,.507,4.1,2.1,1.0,0.2,13.1
David Duke Jr.\dukeda01,22,15.5,.361,.243,.403,3.0,0.8,0.6,0.3,4.7
Kris Dunn\dunnkr01,14,24.0,.431,.091,.436,3.5,5.6,1.6,0.2,7.6
Kevin Durant\duranke01,55,37.2,.518,.383,.570,7.4,6.4,0.9,0.9,29.9
Jaime Echenique\echenja01,1,3.0,,,,0.0,0.0,0.0,0.0,0.0
Anthony Edwards\edwaran01,72,34.3,.441,.357,.527,4.8,3.8,1.5,0.6,21.3
Carsen Edwards\edwarca01,4,19.8,.300,.250,.367,1.5,3.5,0.5,0.0,5.8
Kessler Edwards\edwarke02,48,20.6,.412,.353,.502,3.6,0.6,0.6,0.5,5.9
Rob Edwards\edwarro01,2,5.5,.250,.250,.375,1.5,0.0,0.0,0.0,1.5
CJ Elleby\ellebcj01,58,20.2,.393,.294,.453,3.9,1.5,0.6,0.3,5.8
Wayne Ellington\ellinwa01,43,18.8,.414,.389,.586,1.8,0.7,0.5,0.1,6.7
Joel Embiid\embiijo01,68,33.8,.499,.371,.534,11.7,4.2,1.1,1.5,30.6
James Ennis III\ennisja01,7,8.0,.458,.375,.521,1.7,0.4,0.3,0.3,4.1
James Ennis III\ennisja01,2,7.0,.286,.500,.357,2.5,0.0,0.5,0.5,2.5
James Ennis III\ennisja01,2,14.0,.636,.500,.727,2.5,0.0,0.5,0.5,10.0
James Ennis III\ennisja01,3,4.7,.333,.000,.333,0.7,1.0,0.0,0.0,1.3
Drew Eubanks\eubandr01,71,17.5,.596,.217,.602,5.4,1.2,0.4,0.6,7.7
Drew Eubanks\eubandr01,49,12.1,.528,.125,.531,4.0,1.0,0.3,0.6,4.7
Drew Eubanks\eubandr01,22,29.5,.646,.267,.656,8.5,1.6,0.8,0.5,14.5
Tacko Fall\fallta01,11,5.4,.417,,.417,2.1,0.2,0.0,0.5,1.1
Derrick Favors\favorde01,39,16.7,.516,.125,.522,4.7,0.6,0.4,0.3,5.3
Bruno Fernando\fernabr01,30,5.1,.655,.500,.664,1.8,0.2,0.0,0.4,2.9
Bruno Fernando\fernabr01,20,2.9,.500,1.000,.536,0.8,0.2,0.0,0.2,1.0
Bruno Fernando\fernabr01,10,9.4,.707,.000,.707,4.0,0.3,0.1,0.8,6.9
Dorian Finney-Smith\finnedo01,80,33.1,.471,.395,.595,4.7,1.9,1.1,0.5,11.0
Malik Fitts\fittsma01,15,4.2,.421,.500,.553,1.1,0.3,0.0,0.0,1.4
Malik Fitts\fittsma01,7,5.0,.222,.500,.333,1.4,0.0,0.0,0.0,0.9
Malik Fitts\fittsma01,8,3.5,.600,.500,.750,0.9,0.6,0.0,0.0,1.9
Malachi Flynn\flynnma01,44,12.2,.393,.333,.475,1.4,1.6,0.5,0.1,4.3
Bryn Forbes\forbebr01,75,17.1,.429,.414,.542,1.2,1.0,0.3,0.1,8.8
Bryn Forbes\forbebr01,40,16.9,.432,.417,.539,1.6,1.0,0.4,0.1,9.1
Bryn Forbes\forbebr01,35,17.4,.424,.410,.545,0.9,1.0,0.2,0.1,8.6
Aleem Ford\fordal03,5,14.8,.300,.133,.350,3.0,0.4,0.2,0.0,2.8
Trent Forrest\forretr01,60,12.8,.490,.185,.506,1.7,1.8,0.5,0.1,3.3
Evan Fournier\fournev01,80,29.5,.417,.389,.541,2.6,2.1,1.0,0.3,14.1
De'Aaron Fox\foxde01,59,35.3,.473,.297,.506,3.9,5.6,1.2,0.4,23.2
Melvin Frazier\frazime01,3,40.0,.271,.048,.281,4.3,0.3,0.3,0.0,10.7
Tim Frazier\fraziti01,12,17.3,.311,.353,.378,1.6,2.8,0.3,0.1,3.3
Tim Frazier\fraziti01,10,20.0,.302,.353,.372,1.9,3.3,0.3,0.1,3.7
Tim Frazier\fraziti01,2,4.0,.500,,.500,0.0,0.5,0.0,0.0,1.0
Enes Freedom\kanteen01,35,11.7,.526,.400,.536,4.6,0.2,0.1,0.4,3.7
Markelle Fultz\fultzma01,18,20.0,.474,.235,.486,2.7,5.5,1.1,0.3,10.8
Wenyen Gabriel\gabriwe01,26,13.8,.491,.286,.527,3.7,0.5,0.2,0.4,5.4
Wenyen Gabriel\gabriwe01,1,1.0,,,,1.0,0.0,0.0,0.0,0.0
Wenyen Gabriel\gabriwe01,6,7.7,.385,.400,.462,2.3,0.3,0.2,0.3,2.3
Wenyen Gabriel\gabriwe01,19,16.4,.505,.261,.536,4.3,0.6,0.2,0.5,6.7
Daniel Gafford\gaffoda01,72,20.1,.693,.000,.693,5.7,0.9,0.4,1.4,9.4
Danilo Gallinari\gallida01,66,25.3,.434,.381,.528,4.7,1.5,0.4,0.2,11.7
Langston Galloway\gallola01,7,15.3,.231,.125,.269,2.6,1.7,0.1,0.0,2.0
Langston Galloway\gallola01,4,14.5,.385,.250,.462,2.0,1.3,0.0,0.0,3.0
Langston Galloway\gallola01,3,16.3,.077,.000,.077,3.3,2.3,0.3,0.0,0.7
Darius Garland\garlada01,68,35.7,.462,.383,.536,3.3,8.6,1.3,0.1,21.7
Marcus Garrett\garrema01,12,10.7,.238,.250,.262,1.9,0.6,0.4,0.3,1.1
Usman Garuba\garubus01,24,10.0,.432,.250,.489,3.5,0.7,0.4,0.5,2.0
Luka Garza\garzalu01,32,12.2,.449,.327,.503,3.1,0.6,0.3,0.2,5.8
Rudy Gay\gayru01,55,18.9,.414,.345,.507,4.4,1.0,0.5,0.3,8.1
Paul George\georgpa01,31,34.7,.421,.354,.493,6.9,5.7,2.2,0.4,24.3
Taj Gibson\gibsota01,52,18.2,.518,.395,.563,4.4,0.6,0.4,0.8,4.4
Josh Giddey\giddejo01,54,31.5,.419,.263,.461,7.8,6.4,0.9,0.4,12.5
Shai Gilgeous-Alexander\gilgesh01,56,34.7,.453,.300,.496,5.0,5.9,1.3,0.8,24.5
Anthony Gill\gillan01,44,10.5,.569,.538,.633,1.9,0.6,0.1,0.3,4.1
Freddie Gillespie\gillefr01,9,13.2,.409,.000,.409,4.0,0.6,0.3,1.0,2.3
Rudy Gobert\goberru01,66,32.1,.713,.000,.713,14.7,1.1,0.7,2.1,15.6
Brandon Goodwin\goodwbr01,36,13.9,.416,.345,.477,1.9,2.5,0.7,0.0,4.8
Jordan Goodwin\goodwjo01,2,3.0,.000,.000,.000,0.5,0.0,0.0,0.0,0.0
Aaron Gordon\gordoaa01,75,31.7,.520,.335,.573,5.9,2.5,0.6,0.6,15.0
Eric Gordon\gordoer01,57,29.3,.475,.412,.585,2.0,2.7,0.5,0.3,13.4
Devonte' Graham\grahade01,76,28.4,.363,.341,.481,2.3,4.2,0.9,0.2,11.9
Jerami Grant\grantje01,47,31.9,.426,.358,.491,4.1,2.4,0.9,1.0,19.2
Hassani Gravett\graveha01,8,21.4,.474,.423,.618,2.6,2.5,0.6,0.1,6.3
Danny Green\greenda02,62,21.8,.394,.380,.555,2.5,1.0,1.0,0.6,5.9
Draymond Green\greendr01,46,28.9,.525,.296,.556,7.3,7.0,1.3,1.1,7.5
Jalen Green\greenja05,67,31.9,.426,.343,.508,3.4,2.6,0.7,0.3,17.3
JaMychal Green\greenja01,67,16.2,.486,.266,.537,4.2,0.9,0.6,0.4,6.4
Javonte Green\greenja02,65,23.4,.542,.356,.597,4.2,0.9,1.0,0.5,7.2
Jeff Green\greenje02,75,24.7,.524,.315,.574,3.1,1.3,0.4,0.4,10.3
Josh Green\greenjo02,67,15.5,.508,.359,.563,2.4,1.2,0.7,0.2,4.8
Blake Griffin\griffbl01,56,17.1,.425,.262,.486,4.1,1.9,0.5,0.3,6.4
Quentin Grimes\grimequ01,46,17.1,.404,.381,.557,2.0,1.0,0.7,0.2,6.0
Kyle Guy\guyky01,19,9.8,.400,.350,.508,0.9,0.9,0.4,0.1,3.9
Rui Hachimura\hachiru01,42,22.5,.491,.447,.563,3.8,1.1,0.5,0.2,11.3
Tyrese Haliburton\halibty01,77,35.0,.473,.414,.562,4.0,8.2,1.7,0.6,15.3
Tyrese Haliburton\halibty01,51,34.5,.457,.413,.546,3.9,7.4,1.7,0.7,14.3
Tyrese Haliburton\halibty01,26,36.1,.502,.416,.590,4.3,9.6,1.8,0.6,17.5
Tyler Hall\hallty01,1,2.0,,,,0.0,0.0,0.0,0.0,0.0
R.J. Hampton\hamptrj01,64,21.9,.383,.350,.453,3.0,2.5,0.7,0.2,7.6
