Player,G,MP,FG%,3P%,eFG%,TRB,AST,STL,BLK,PTS
Precious Achiuwa\achiupr01,73,23.6,.439,.359,.486,6.5,1.1,0.5,0.6,9.1
Steven Adams\adamsst01,76,26.3,.547,.000,.547,10.0,3.4,0.9,0.8,6.9
Bam Adebayo\adebaba01,56,32.6,.557,.000,.557,10.1,3.4,1.4,0.8,19.1
Santi Aldama\aldamsa01,32,11.3,.402,.125,.424,2.7,0.7,0.2,0.3,4.1
LaMarcus Aldridge\aldrila01,47,22.3,.550,.304,.566,5.5,0.9,0.3,1.0,12.9
Nickeil Alexander-Walker\alexani01,65,22.6,.372,.311,.449,2.9,2.4,0.7,0.4,10.6
Nickeil Alexander-Walker\alexani01,50,26.3,.375,.311,.450,3.3,2.8,0.8,0.4,12.8
Nickeil Alexander-Walker\alexani01,15,9.9,.333,.303,.438,1.5,1.1,0.3,0.3,3.5
Grayson Allen\allengr01,66,27.3,.448,.409,.588,3.4,1.5,0.7,0.3,11.1
Jarrett Allen\allenja01,56,32.3,.677,.100,.678,10.8,1.6,0.8,1.3,16.1
Jose Alvarado\alvarjo01,54,15.4,.446,.291,.500,1.9,2.8,1.3,0.1,6.1
Justin Anderson\anderju01,16,19.8,.379,.254,.458,2.9,2.1,0.5,0.4,6.4
Justin Anderson\anderju01,3,15.7,.500,.333,.625,2.0,2.0,0.3,0.0,4.3
Justin Anderson\anderju01,13,20.7,.368,.245,.443,3.1,2.1,0.5,0.5,6.8
Kyle Anderson\anderky01,69,21.5,.446,.330,.484,5.3,2.7,1.1,0.7,7.6
Giannis Antetokounmpo\antetgi01,67,32.9,.553,.293,.582,11.6,5.8,1.1,1.4,29.9
Thanasis Antetokounmpo\antetth01,48,9.9,.547,.143,.555,2.1,0.5,0.3,0.3,3.6
Carmelo Anthony\anthoca01,69,26.0,.441,.375,.544,4.2,1.0,0.7,0.8,13.3
Cole Anthony\anthoco01,65,31.7,.391,.338,.464,5.4,5.7,0.7,0.3,16.3
OG Anunoby\anunoog01,48,36.0,.443,.363,.526,5.5,2.6,1.5,0.5,17.1
Ryan Arcidiacono\arcidry01,10,7.6,.500,.444,.667,0.8,0.4,0.1,0.0,1.6
Trevor Ariza\arizatr01,24,19.3,.333,.270,.434,3.4,1.1,0.5,0.3,4.0
D.J. Augustin\augusdj01,55,16.1,.423,.415,.577,1.2,1.9,0.3,0.0,5.3
D.J. Augustin\augusdj01,34,15.0,.404,.406,.548,1.2,2.2,0.3,0.0,5.4
D.J. Augustin\augusdj01,21,17.8,.453,.426,.622,1.3,1.6,0.3,0.0,5.3
Deni Avdija\avdijde01,82,24.2,.432,.317,.503,5.2,2.0,0.7,0.5,8.4
Joel Ayayi\ayayijo01,7,2.9,.167,.000,.167,0.4,0.6,0.0,0.0,0.3
Deandre Ayton\aytonde01,58,29.5,.634,.368,.639,10.2,1.4,0.7,0.7,17.2
Udoka Azubuike\azubuud01,17,11.5,.755,,.755,4.2,0.0,0.1,0.6,4.7
