FG%,3P%,eFG%,TRB,AST,STL,BLK,PTS,PER,TS%,WS,BPM,VORP,All-star
0.471,0.347,0.514,5.9,3.3,1.1,0.7,19,17.7,0.568,6.1,1.7,2.2,no
0.693,,0.693,13.5,1.5,0.8,2,15.1,21.7,0.699,10.7,3.6,3.3,yes
0.437,0.308,0.484,7.7,3.7,0.8,0.6,14.4,15.1,0.516,3.7,0,1,no
0.382,0.373,0.495,3.4,7.5,1,0.2,18.2,15.8,0.537,3.4,0.5,1.4,no
0.466,0.287,0.489,6.1,1.8,0.8,0.2,13.5,13.5,0.535,1.8,-3.2,-0.4,no
0.434,0.398,0.55,3.3,1.9,0.6,0.1,15.8,14.5,0.581,4.4,-0.1,1,no
0.444,0.355,0.543,6.6,7.5,1.8,0.9,34.3,29.1,0.626,13.1,9.6,7.3,yes
0.42,0.333,0.487,2.9,2.1,1.4,0.3,10.4,9.7,0.519,1.9,-2.5,-0.2,no
0.486,0.424,0.596,4.3,2.1,0.6,0.2,14.5,13.3,0.606,4.3,-0.2,1,no
0.471,0.367,0.527,6.9,3.2,0.7,0.6,19.6,17.2,0.556,6.2,0.8,1.8,no
0.5,0.383,0.561,6.7,4.1,0.7,0.4,17.5,18.1,0.595,5.7,2.7,2,no
0.429,0.394,0.545,4.6,3,0.9,0.2,19.2,16,0.566,3,1.1,1.7,no
0.455,0.353,0.516,4.8,6.7,1.6,0.8,19.1,17,0.537,3.9,1.8,2,no
0.45,0.35,0.52,6.8,4,0.8,0.9,11.9,15.7,0.536,5.4,2.2,2.2,no
0.427,0.363,0.546,4.2,1.3,1.1,0.5,10.5,11.3,0.572,3.6,-0.7,0.6,no
0.413,0.38,0.517,4.1,3.8,0.9,0.5,12.2,11.5,0.536,1.6,-1.6,0.2,no
0.41,0.355,0.489,4.5,1.8,0.7,0.3,12.3,8.6,0.521,0.1,-4.7,-1.4,no
0.445,0.399,0.572,3.9,5.2,0.9,0.2,9.8,12.6,0.595,4.8,0.7,1.5,no
0.463,0.391,0.531,6.1,4.2,1,0.6,23.8,18.8,0.587,5.1,2.1,2.2,yes
0.493,0.348,0.55,7.8,10.2,1.2,0.5,25.3,25.5,0.577,9.8,8.4,6.1,yes
0.528,0.314,0.565,9.7,7,1.2,0.6,19.9,24.9,0.605,9.8,7.4,5.5,yes
0.45,0.38,0.526,4.8,4.2,1.5,0.5,25.5,19.4,0.568,4,2.5,2.4,no
0.417,0.356,0.5,4.9,2.7,1,0.1,12.7,12.7,0.548,1.7,-2.3,-0.1,no
0.47,0.378,0.524,7.1,4.9,1.8,0.6,27.1,26.9,0.589,8.7,8.9,5.1,yes
0.425,0.364,0.48,4.2,4.4,1.2,0.2,18.7,16.1,0.514,1.5,-0.3,0.5,no
0.463,0.401,0.563,4.3,8,1.1,0.3,30,26.9,0.627,11.6,7.5,5.9,yes
0.45,0.374,0.55,9.8,3.2,0.6,0.3,17.6,17.9,0.599,3.8,2,1.8,no
0.416,0.352,0.518,5,7.5,1.4,0.4,19.4,17.7,0.59,7.5,3.2,2.8,yes
0.425,0.344,0.517,6.3,1.5,0.8,0.5,14.7,14.3,0.56,2.6,-0.6,0.5,no
0.451,0.379,0.522,4.2,4.4,0.8,0.6,22.2,17,0.541,4.1,0.5,1.6,no
0.497,0.415,0.575,6.2,4.3,0.9,0.1,20.9,21.1,0.619,7.9,4.1,2.9,yes
0.449,0.366,0.513,4.4,4.3,1,0.2,24,18.8,0.558,5.4,1.9,2.3,yes
0.477,0.335,0.509,3.9,7.3,0.9,0.3,17.8,17.4,0.556,3.8,0.3,1.2,no
0.438,0.408,0.526,5,1.4,0.8,0.5,16.7,14.3,0.57,3.6,-0.1,0.9,no
0.456,0.346,0.519,4,4.8,1.1,0.3,18.5,17.7,0.559,4.3,1.2,1.5,no
0.439,0.35,0.514,2.7,3.3,0.8,0.2,15.3,12.9,0.534,2,-2.3,-0.1,no
0.433,0.377,0.559,5.5,2.5,0.8,0.5,6.3,9.5,0.578,4.3,0.9,1.5,no
0.437,0.383,0.538,3.6,2.4,0.8,0.2,11,10.7,0.552,1.6,-2.6,-0.3,no
0.452,0.352,0.517,6.4,1.5,1.3,0.7,18.7,14.9,0.56,3.8,-0.5,0.7,no
0.489,0.365,0.552,5,6.7,1.6,0.2,17.6,21.7,0.61,8.9,4.4,3.5,yes
0.427,0.352,0.503,9.5,1.8,0.7,2,20.4,20.2,0.551,5.2,1.9,1.8,no
0.376,0.339,0.475,6,1.8,0.9,0.4,12.1,9.1,0.497,0.6,-2.9,-0.4,no
0.46,0.277,0.492,9.7,3.1,0.8,0.3,19.5,17.5,0.538,2.7,-0.3,0.9,no
0.43,0.341,0.496,3.2,2.9,0.9,0.7,13.7,12,0.533,2.1,-1.8,0.1,no
0.47,0.446,0.667,3.2,1.4,0.5,0.3,13.5,13.1,0.684,5.3,0.5,1.3,no
0.423,0.407,0.514,4.4,4.1,1,0.2,18,14.8,0.553,3,-0.4,0.8,no
0.415,0.361,0.471,4.7,8.8,1.4,0.2,13,16.5,0.535,4.9,1,1.5,no
0.426,0.367,0.519,3.9,6.3,1.1,0.3,23.1,18.7,0.556,1.8,1.9,1.4,no
0.54,0.254,0.55,12.4,5,0.8,0.5,18.5,20.7,0.586,7.5,3.2,2.9,yes
0.43,0.322,0.488,3.9,5.4,1.2,0.1,9.9,13.5,0.533,3.5,-1.2,0.4,no
0.469,0.385,0.534,3.6,4,0.7,0.2,18.9,16.7,0.575,3.6,-0.1,1,no
0.472,0.38,0.517,3.1,3,1,0.1,20.8,16.3,0.56,2.5,-1.8,0.1,no
0.453,0.359,0.512,7.3,3.5,1,0.9,22.9,17.9,0.554,5.4,1.8,2,yes
0.58,0.286,0.581,7.8,8,2.1,0.6,16.4,20.4,0.602,6.9,3.6,2.8,yes
0.375,0.347,0.476,3.8,4.9,1.7,0.5,12.9,13.8,0.518,4.5,1.4,1.6,no
0.45,0.403,0.527,7,3,1.4,0.9,23.4,20.4,0.567,6.9,4,3.4,yes
0.512,0.391,0.52,10.1,2.1,0.6,0.9,12,16.8,0.54,3.1,-1.5,0.2,no
0.508,0.412,0.6,10.8,4.4,0.9,1.2,26.5,26.5,0.642,5.1,7.8,2.9,no
0.415,0.358,0.541,6.6,1.6,1.1,0.5,6.9,8.3,0.559,4,-1.9,0.1,no
0.457,0.344,0.53,6.6,1.2,0.7,2.1,12.1,14.8,0.566,4.2,0.1,1,no
0.413,0.39,0.507,3.8,6.6,1.9,0.3,17.6,16.3,0.553,5.8,2.7,2.3,no
0.477,0.339,0.525,10.9,3.6,0.9,0.8,19.6,21.9,0.549,6.4,4.2,3.1,no
0.425,0.381,0.526,3.9,4.8,0.9,0.5,20.4,20,0.575,5.9,4.6,2.9,yes
0.536,0.403,0.581,4.2,1.5,1.2,0.5,19.8,18.4,0.61,6.5,1.1,1.7,no
0.455,0.374,0.528,5.4,2.1,0.9,0.8,12.2,12.4,0.547,2,-1.6,0.2,no
0.472,0.258,0.493,7.9,7,1.6,0.4,27.2,21,0.536,4.2,1.5,1.8,yes
0.621,0.571,0.624,13.5,1.2,0.4,2.9,15.5,25,0.644,8.5,3.2,2.6,no
0.447,0.332,0.504,5.1,3.7,0.8,1,21.8,16.4,0.536,1.9,-0.3,0.8,no
0.437,0.361,0.519,4.3,9.3,1.1,0.1,29.6,23.9,0.595,5.9,3.9,3.1,yes
0.595,0,0.595,9.5,1.6,1.5,1,13.9,18.5,0.591,9.1,1.1,2.1,no
0.519,0.238,0.522,9.2,2.4,0.5,1.3,21.3,22.9,0.576,9.3,1.8,2.6,yes
0.543,0.265,0.56,5.8,3,1.3,0.9,8,12.8,0.569,2.7,0.8,0.9,no
0.578,0.256,0.599,12.5,5.9,1.3,1.5,27.7,30.9,0.644,14.4,10.4,7.4,yes
0.399,0.334,0.498,5.4,3.7,1.3,0.3,12.5,12.1,0.534,2.5,-1.3,0.4,no
0.585,0,0.585,10.3,1.8,0.9,0.9,16.3,20.5,0.608,5.8,0.2,1.2,no
0.406,0.329,0.488,5.3,5.4,1.5,0.4,9.9,11.7,0.487,1.6,-0.3,0.6,no
0.42,0.395,0.504,4.7,1.5,0.6,0.2,16.4,12.8,0.55,3.6,-1.4,0.4,no
0.45,0.389,0.553,5.2,3.3,0.9,0.6,9.3,11.9,0.581,3.7,-0.3,1,no
0.475,0.351,0.54,5,5.5,1.5,0.7,25.6,20.8,0.581,7.6,2.9,3.7,yes
0.484,0.329,0.548,4.6,5.5,1.5,0.4,15.9,19.3,0.577,8.2,3.1,2.9,no
0.497,0.425,0.575,4.1,2,0.9,0,18,16.1,0.613,6.8,0.7,1.7,no
0.467,0.326,0.521,4.1,6.8,0.9,0.2,26.6,20.2,0.584,3.5,1,1.7,no
0.408,0.351,0.479,2.8,2.4,0.7,0.3,9.9,7.6,0.496,0.3,-3.7,-0.8,no
0.43,0.335,0.523,3.2,2.1,1.6,0.5,8.3,10.8,0.556,2.9,-1.6,0.3,no
0.412,0.377,0.537,2.7,2,0.6,0.2,11.3,10.5,0.563,3.1,-1.1,0.4,no
0.462,0.347,0.499,5.3,4,1.9,0.6,18.7,20.2,0.571,7.9,3.7,3.2,no
0.648,,0.648,12.7,1.4,0.7,1.5,16.6,23.8,0.658,10.8,3,2.8,no
0.56,0.348,0.593,9.8,2,0.4,0.6,19.5,21.8,0.627,6,0.9,1.3,no
0.438,0.364,0.507,3.4,6.4,1.3,0.3,21.1,21.4,0.569,8,4.7,3.9,no
0.431,0.378,0.548,5.5,1.3,2.1,1.3,13.3,13.3,0.58,2.5,1.6,1.1,no
0.472,0.437,0.604,5.3,5.2,1.3,0.4,27.3,24.4,0.641,9.7,6.6,5.1,yes
0.517,0.331,0.54,12,3.9,1.6,2.4,25.9,30.3,0.597,9.5,9.4,5.3,yes
0.481,0.156,0.483,6,6.2,1.1,0.5,21.2,19.6,0.542,6.3,1.1,2.2,no
0.427,0.327,0.497,7.8,6,1.1,0.3,21.2,19.6,0.545,4.9,3.9,3.4,no
0.533,0.132,0.536,15.6,1.4,1.7,1.7,17.3,23.4,0.555,10,2.1,2.7,no
0.425,0.354,0.458,4.1,6,1.5,0.5,11.3,12.4,0.484,0.6,-2.7,-0.2,no
0.521,0.353,0.571,6.4,5.9,0.7,1.1,26,24.2,0.631,11.5,5.5,5.1,yes
0.484,0.3,0.517,13.6,3.7,0.7,1.9,27.5,26.1,0.593,8.7,4.9,3.8,yes
0.438,0.34,0.509,3.2,3.6,0.9,0.1,15.1,12.3,0.536,3.2,-2.4,-0.3,no
0.458,0.371,0.497,3.8,7.3,1.6,0.6,17.3,18.1,0.544,5.6,1.5,2.3,no
0.463,0.433,0.554,6.1,2.6,0.7,0.3,19.8,21,0.633,8.2,4.3,3.3,no
0.448,0.363,0.505,7.9,4.4,1.1,1.1,13.6,16.7,0.546,6,3.1,3.1,no
0.438,0.386,0.529,8.2,4.1,2.2,0.4,28,23.3,0.583,11.9,7.2,6.6,yes
0.669,,0.669,12.9,2,0.8,2.3,15.9,24.6,0.682,14.4,5.4,4.8,no
0.449,0.349,0.507,7.4,3.7,0.7,0.7,16,15.1,0.538,5.1,0.6,1.7,no
0.409,0.36,0.525,2.2,1.9,0.6,0.4,16.2,12.2,0.549,2.6,-1.3,0.4,no
0.497,0.392,0.567,5.2,1,0.8,1.3,13.6,13.8,0.592,7.3,0.2,1.5,no
0.445,0.285,0.501,7.3,6.9,1.4,1.1,7.4,12.9,0.526,4.3,1.4,1.8,no
0.462,0.362,0.532,7.5,5.4,0.7,0.4,24.5,21,0.581,8,5.1,4.7,yes
0.393,0.34,0.474,3.4,2.4,0.8,0.1,18.1,13.6,0.527,1.8,-2,0,no
0.442,0.368,0.541,6.6,7.5,2,0.7,36.1,30.6,0.616,15.2,11,9.3,yes
0.5,0.474,0.622,3.8,2.4,0.5,0.2,13.7,13.5,0.645,5.5,0.5,1.4,no
0.487,0.397,0.549,7.9,2.8,0.6,0.5,20,17.2,0.592,7.1,1.6,2.6,no
0.458,0.427,0.56,5,2.5,0.7,0.4,20.7,17.5,0.587,5.9,2.1,2.7,no
0.472,0.325,0.523,5,7.7,1.6,0.8,21.2,19.4,0.555,5.4,3,3.1,no
0.386,0.348,0.49,3.9,1.8,1.5,0.4,10.5,10,0.52,2.1,-1.8,0.1,no
0.535,0.36,0.586,6.7,4.2,0.9,1.3,13.6,20.2,0.605,7.5,5.1,3.6,no
0.448,0.391,0.565,4,5.7,1.2,0.2,12.1,13.4,0.581,6,1.4,2.2,no
0.497,0.33,0.518,5.1,3,0.5,0.6,18.3,13.4,0.555,2,-2,0,no
0.487,0.401,0.557,5,6.9,1.5,0.5,23.8,24.3,0.592,9.1,7.2,5.1,yes
0.51,0.339,0.56,8.5,8.3,1.3,0.6,27.4,25.6,0.588,7.2,8,4.9,yes
0.511,0.307,0.545,10.8,7.3,1.4,0.7,20.1,26.3,0.589,11.8,9.1,7,yes
0.641,,0.641,13.1,2.3,0.6,1.1,11,19,0.674,7.1,2.1,2.1,no
0.456,0.303,0.515,5.5,2.5,0.6,0.4,18.7,14,0.546,3.1,-1.4,0.4,no
0.467,0.374,0.52,4.7,4.5,1,0.4,23.7,18.7,0.574,2.8,0.8,1.5,no
0.496,0.371,0.546,7.3,3.3,1.8,0.4,26.6,25.8,0.606,9.5,7.2,4.7,yes
0.444,0.369,0.522,4.6,6.9,1.1,0.4,25.8,23.7,0.588,12.1,6.4,6,yes
0.411,0.347,0.518,4.8,8.7,1.4,0.5,14.2,16.5,0.562,6.6,2.3,2.4,yes
0.43,0.361,0.506,9,1.4,0.7,0.6,18.7,17.1,0.553,2.7,-0.2,0.7,no
0.4,0.372,0.507,2.5,2.3,0.8,0.2,12.2,10.3,0.546,2.7,-1.8,0.1,no
0.459,0.375,0.527,4,3,0.8,0.4,21,17,0.553,5.6,1,1.8,no
0.441,0.378,0.519,6,4.3,1,0.1,18.3,16.5,0.558,6.1,0.8,1.7,yes
0.432,0.362,0.493,4.1,4.2,1.4,0.4,23.8,17.2,0.537,5,1.3,2.2,no
0.437,0.367,0.502,4.2,4.8,0.9,0.4,18.2,16,0.538,5.1,0.6,1.6,no
0.423,0.343,0.486,5.6,5.2,1.7,0.3,18.8,17.6,0.519,2.3,2.9,1.4,yes
0.427,0.348,0.504,4.7,2.6,0.8,0.1,13,11.5,0.536,1.5,-3.2,-0.8,no
0.419,0.358,0.508,4.6,8.2,2,0.3,15.6,19.7,0.56,6.6,3.9,2.8,no
0.434,0.314,0.475,5.2,7.6,1,0.4,10.6,14,0.502,1.5,-1.4,0.2,no
0.465,0.406,0.546,5.6,2.1,1.5,0.6,13.9,15.9,0.569,3.2,0.9,1.2,no
0.524,0.344,0.555,8.7,3.1,0.7,0.6,21.4,20.9,0.6,6.1,1.5,2,no
0.44,0.397,0.557,2.4,2.7,0.4,0.2,18.1,15.1,0.602,5.9,0.2,1.3,no
0.412,0.357,0.492,3.6,4.1,1.1,0.5,16.6,14,0.536,5.6,0.3,1.5,no
0.405,0.359,0.464,5.3,8,1.2,0.2,9.2,12.1,0.473,1.3,-1.5,0.2,no
0.434,0.369,0.512,3.9,7,1.2,0.2,21.1,19.4,0.533,5,3.4,3.4,no
0.414,0.341,0.47,3.6,4.1,0.8,0.2,15.5,12.7,0.508,2.9,-2,0,no
0.43,0.402,0.48,2.9,3,0.5,0.1,16.7,12,0.52,-0.6,-4.7,-1.8,no
0.549,0.369,0.591,6.9,3.1,0.9,0.7,16.9,18.7,0.628,9.3,2.4,2.8,no
0.563,0,0.563,8.8,7.7,1.4,0.8,16.9,20,0.582,8.2,3.6,3.8,yes
0.45,0.373,0.506,6,2.1,1.1,0.7,15.7,15.1,0.547,5,-0.2,1.1,no
0.423,0.333,0.465,2.5,8.2,1,0.4,12.1,15.4,0.528,2.2,-0.4,0.5,no
0.467,0.402,0.553,3.8,2.4,1.1,0.6,21.5,16.6,0.571,5.3,-0.3,1.2,yes
0.518,0.4,0.572,12.4,3.4,0.9,1.6,24.4,26.3,0.622,10.4,6,5.1,yes
0.396,0.377,0.535,5.8,1.2,1.6,0.5,7.3,9.2,0.547,5,-0.6,1,no
0.518,0.364,0.549,12,3.8,1,1.1,20.8,25.5,0.573,10.1,6.6,5.5,yes
0.434,0.356,0.511,4.4,5.9,1.2,0.4,25.6,21.7,0.558,7.4,4.2,4.4,yes
0.486,0.428,0.549,4,1.5,1.2,0.7,18,16.3,0.58,2.1,-0.2,0.6,no
0.428,0.29,0.468,11.1,10.7,1.9,0.5,22.9,21.1,0.501,6.8,5.2,4.7,yes
0.412,0.339,0.461,4.8,2.5,1,0.7,18.1,12.4,0.493,0.6,-3,-0.6,no
0.433,0.375,0.497,5.4,4.3,1.1,0.3,12.6,12.8,0.513,2.8,-0.6,0.7,no
0.527,0.349,0.557,6.5,2.5,1.5,0.4,12.6,16.2,0.569,6.9,1.5,2.2,no
0.418,0.324,0.48,3.7,8.1,0.9,0.2,19.1,17,0.539,3.3,-0.6,0.9,no
0.629,0,0.629,9,1.2,1.2,1,13.9,20.6,0.63,9.7,1.1,2,no
0.51,0.293,0.52,8.5,2,0.6,1.2,23.1,25,0.57,10.9,3.9,3.7,yes
0.395,0.369,0.503,7.6,1.2,1.1,0.6,9.3,12,0.522,4.2,0.4,1.3,no
0.529,0.307,0.545,10,4.8,1.5,1.4,26.9,27.3,0.598,11.9,6.2,5.7,yes
0.404,0.357,0.476,5.8,1.3,0.6,0.6,16.2,12.7,0.503,3.7,-1.9,0,no
0.412,0.368,0.542,4.4,1.6,1.5,0.2,11.7,11.8,0.567,5.3,0.7,1.5,no
0.36,0.305,0.44,6.9,7.2,1.7,0.8,10.2,12.5,0.444,2,1,1.3,no
0.445,0.357,0.494,6.1,2,0.6,0.2,18.9,15.8,0.539,3.8,-0.5,1,no
0.452,0.37,0.528,5,4.1,1,0.6,15.7,16.2,0.562,6.2,1.1,2.1,no
0.415,0.336,0.486,4.8,5.5,1,0.4,11.6,14.4,0.523,3.5,0.4,1.2,no
0.46,0.375,0.527,4.4,4.5,1.2,0.4,22.6,18.4,0.564,6.9,2.2,3.1,yes
0.473,0.347,0.536,3.8,5,2,0.6,17.7,19.7,0.582,5.6,2.5,2.6,no
0.474,0.402,0.565,3.4,1.5,0.7,0.1,14.3,13.9,0.605,5.4,-0.7,0.8,no
0.432,0.383,0.501,4.5,4.7,0.9,0.3,24.9,18.1,0.561,2.4,0.9,1.4,no
0.414,0.369,0.474,2.5,2,1.1,0.2,14.3,9.6,0.496,-0.2,-4,-0.7,no
0.485,0.385,0.547,3.3,3.2,0.9,0.3,13,14.3,0.578,2.7,-1.2,0.3,no
0.465,0.395,0.54,4.9,1.6,1,0.4,14.5,13.6,0.562,4.5,-0.5,0.8,no
0.474,0.35,0.512,5.3,4.9,2,0.4,22.2,23.7,0.59,8.9,5.8,4.2,yes
0.426,0.383,0.526,5.2,2.2,1.4,0.2,13.4,13.2,0.561,5.3,0.3,1.4,no
0.414,0.371,0.506,6.6,2,0.8,0.4,13.5,14.3,0.55,4.1,0.2,1.2,no
0.445,0.358,0.515,5.4,2.1,0.6,0.5,10,10.9,0.542,3.3,-2.1,-0.1,no
0.495,0.468,0.571,2.6,5.3,1.3,0.2,12.4,18.8,0.61,7.6,2.7,2.4,no
0.47,0.354,0.53,12.9,5.4,1.6,1.6,25.2,22.6,0.583,4.7,4.7,2.9,yes
0.413,0.369,0.534,5.4,2,1.7,0.9,12.6,12.9,0.563,6.1,1.5,2.3,no
0.407,0.378,0.529,4.3,1.6,0.6,0.5,13.2,12.3,0.558,3.2,-0.7,0.7,no
0.495,0.423,0.618,5.1,6.1,1.6,0.2,26.4,28.2,0.675,9.1,7.7,4,yes
0.534,0.34,0.552,11.1,2.3,1.5,2.6,28.1,28.9,0.612,13.7,6.7,5.9,yes
0.456,0.31,0.488,3.9,5.2,1.1,0.3,23,21,0.555,9.6,2.8,3.2,yes
0.45,0.37,0.502,4.1,4.8,0.8,0.2,17.3,16.6,0.543,5.3,0.3,1.4,yes
0.529,0,0.529,16,3,1.5,1.6,15,22.9,0.555,10.3,3.2,3.4,yes
0.429,0.321,0.462,4.3,6,2,0.5,13.4,14.5,0.488,0.9,-1.3,0.3,no
0.516,0.419,0.586,6.8,5.4,0.7,1.8,26.4,26,0.64,10.4,7.3,5.5,yes
0.483,0.308,0.514,11,3.2,0.6,1.8,22.9,22.9,0.573,6.2,3.3,2.6,yes
0.452,0.399,0.523,5.1,5.2,1.1,0.3,19.4,21.1,0.561,4.2,4.5,2.6,no
0.459,0.379,0.538,3.2,2.9,0.8,0.3,17.8,15.5,0.577,3.3,-0.6,0.7,no
0.42,0.341,0.473,8.1,4.2,0.7,1.4,17.2,17.4,0.532,4,2.3,2.7,no
0.43,0.401,0.521,5.7,3.3,2,0.5,21.9,18.7,0.57,8.9,2.9,3.6,yes
0.577,0.2,0.581,7.1,1.2,0.8,0.7,12.2,15.4,0.61,7.2,-0.5,1,no
0.622,,0.622,10.7,1.4,0.8,2.3,13.5,20.7,0.657,8.1,3.4,2.5,no
0.434,0.336,0.5,7.9,2.3,1,0.8,17.6,16.5,0.53,2.9,0.3,1.1,no
0.428,0.359,0.54,2.5,2.2,0.6,0.4,18,15.2,0.578,4.7,0.4,1.3,no
0.454,0.301,0.516,7.6,7.3,1.4,1.3,11,16.1,0.556,6.1,2.8,2.8,yes
0.438,0.345,0.493,7.4,5.8,0.7,0.3,21.4,19.6,0.544,4.9,3.4,2.7,no
0.421,0.317,0.496,3.9,2.7,1.1,0.2,17.5,14.4,0.533,2.6,-0.6,0.7,no
0.449,0.367,0.541,5.4,8.8,1.8,0.7,30.4,29.8,0.619,15.4,9.9,7.7,yes
0.485,0.396,0.57,2.6,2.9,1.8,0.2,17.5,16.5,0.597,5.5,0.8,1.7,no
0.46,0.411,0.535,5.5,2.4,0.9,0.4,18.6,17.1,0.565,6.7,1.9,2.6,no
0.494,0.337,0.543,4.5,6,1.5,0.8,19,17.8,0.57,7.1,1.6,2.7,no
0.371,0.359,0.474,4,2.1,1.1,0.4,12.2,10.8,0.513,1.7,-1.9,0,no
0.489,0.429,0.553,7.4,4.7,0.6,1.1,12.9,17.6,0.575,7.8,4.4,3.7,yes
0.555,0.143,0.556,12.5,1.3,0.6,1.6,16.6,20.5,0.577,6.8,-0.1,1.2,no
0.467,0.44,0.609,4.2,4.8,1.1,0.2,11.5,14.4,0.623,7.6,2.3,2.8,no
0.47,0.39,0.497,5.3,3.9,0.8,0.7,16.1,13.8,0.536,2.8,-1.2,0.4,no
0.491,0.408,0.568,3.8,5.1,1.1,0.3,24.4,25,0.61,8.9,7.3,4.5,yes
0.542,0.367,0.59,8.6,9.1,1.4,0.9,27.5,28.6,0.621,14,8.7,8.2,yes
0.499,0.396,0.554,10.7,6.1,1.2,0.8,18.5,24.4,0.603,10.7,6.9,5.5,no
0.645,,0.645,15.2,1.5,0.5,0.9,12,20.2,0.648,9.4,1.4,2.1,no
0.45,0.366,0.527,6.3,1.8,0.6,0.4,16.1,14.2,0.549,3.8,-0.7,0.8,no
0.454,0.406,0.529,2.9,2.4,1.1,0.2,12,13,0.564,3.9,-0.3,1,no
0.439,0.361,0.519,4.5,6.6,1.1,0.4,26.9,25.2,0.594,12.6,7.2,6.3,yes
0.458,0.415,0.552,9.3,1.7,0.7,0.4,17.6,22.4,0.614,6.4,3.3,2.2,yes
0.427,0.399,0.553,5.6,6.9,1.1,0.2,16.2,19.5,0.598,10.2,5.2,4.5,yes
0.434,0.362,0.518,7.5,1.2,0.6,0.6,15.2,15.6,0.552,3.3,-0.2,0.9,no
0.406,0.381,0.516,3.1,2.7,1.2,0.3,12.7,11.4,0.541,2.6,-0.9,0.6,no
0.443,0.397,0.506,4,3.4,1,0.4,21.4,17,0.536,6.6,1.2,2.4,no
0.466,0.359,0.524,5.2,4,1.5,0.3,20.1,17.4,0.577,6.9,0,1.5,no
0.464,0.345,0.509,6.4,2.8,1,1.2,14.6,17,0.549,2.5,0.4,0.7,no
0.437,0.34,0.506,3.7,3.7,1.5,0.3,20.5,16.7,0.541,5.2,1.2,2.2,no
0.508,0.425,0.585,2.9,2.3,1,0.1,12.5,12.1,0.593,4.4,-1.6,0.3,no
0.451,0.378,0.529,3.7,3.4,1,0.3,16.7,16.1,0.576,5.5,-0.3,1.1,no
0.477,0.371,0.537,5.2,4.3,2.4,0.8,23.1,23.1,0.577,8.2,5.8,5,yes
0.46,0.38,0.55,5.4,7.9,1.7,0.2,18.6,24.4,0.604,10.2,7.1,4.2,no
0.503,0.441,0.581,6.4,2,1.5,0.5,14.7,18.3,0.602,8.1,3.5,3.4,no
0.439,0.395,0.489,6.6,1.2,0.8,2.4,22.7,20.4,0.539,3.2,1.8,1.5,yes
0.426,0.385,0.516,4.7,2.6,1,0.5,14.1,12.8,0.549,2,-1.1,0.6,no
0.46,0.42,0.569,2.5,3,0.5,0.1,17.1,15.9,0.614,6.6,1.1,1.7,no
0.451,0.378,0.523,3.5,2.9,1.5,0.9,12.9,13.6,0.551,5.4,0.7,1.8,no
0.424,0.378,0.508,2.4,4,1.2,0.3,15.1,12.6,0.526,2.4,-1.2,0.4,no
0.418,0.352,0.476,4.6,5.3,1.6,0.1,13.1,15.4,0.537,5.3,0.7,1.6,no
0.453,0.393,0.541,6.7,2.6,0.7,0.3,14.6,15.8,0.582,6.6,1.3,1.9,no
0.436,0.29,0.469,3.1,6.2,1.1,0.1,19.4,17.3,0.515,2.6,-0.6,0.7,no
0.545,0,0.545,8.1,8.2,1.7,0.9,15.8,20,0.557,9.2,4.5,4.5,no
0.465,0.338,0.511,3.5,2.5,0.8,0.2,13.9,12.7,0.555,1.9,-3.1,-0.5,no
0.367,0.301,0.44,3.5,4.8,1.3,0.4,10.2,10.8,0.479,1.9,-1.2,0.3,no
0.395,0.313,0.446,3.8,5.2,1,0.3,15.2,12.8,0.473,-0.7,-2.4,-0.2,no
0.475,0.434,0.538,5,1.6,1,0.7,13.9,15.2,0.586,7.1,1.2,2,no
0.446,0.368,0.499,3,7,1.5,0.3,14.2,16.4,0.553,4.9,0.4,1.4,no
0.488,0.44,0.585,3.8,2.5,0.8,0.5,20,16,0.598,4.9,-0.4,1,yes
0.545,0.421,0.596,12.3,2.4,0.8,1.4,21.3,24.9,0.646,14,5.1,5.2,yes
0.475,0.314,0.513,9.2,3.4,1,1.1,16.5,19.7,0.533,3.6,2.7,2,no
0.431,0.384,0.516,3.1,5.6,1.1,0.3,22.1,20.6,0.572,8.6,4,4.2,yes
0.42,0.371,0.466,3.7,9.6,1.4,1.1,19.4,19.1,0.515,2.7,3,1.8,yes
0.498,0.222,0.507,5.1,1.3,1,0.6,19.6,17.6,0.541,3.4,-0.7,0.7,no
0.449,0.298,0.477,10.1,10.3,1.8,0.3,25.4,24.7,0.524,10.1,6.3,6.1,yes
0.438,0.331,0.481,4.4,2,1.1,0.6,17.7,13,0.505,2.1,-2.4,-0.3,no
0.435,0.359,0.505,2.5,5.3,1.1,0.2,22.6,20.2,0.574,6.7,2.3,2.8,no
0.487,0.32,0.521,6.3,1.9,1.7,0.4,11.8,14.8,0.528,5.5,0.2,1.4,no
