FG%,3P%,eFG%,TRB,AST,STL,BLK,PTS,PER,TS%,WS,BPM,VORP,All-star
0.467,0.336,0.546,7.7,3.4,0.7,1.3,10.2,16.7,0.574,7.6,4.3,3.2,no
0.454,0.389,0.559,3.4,2.7,0.7,0.4,12.1,11.9,0.57,2.8,-1.2,0.4,no
0.442,0.379,0.506,3.3,1.3,0.7,0.4,13.4,10.6,0.547,1.1,-3.9,-0.8,no
0.461,0.327,0.498,5.8,5.6,0.6,0.5,22.7,18.7,0.554,3.9,2,1.9,no
0.392,0.326,0.46,3.6,4.8,0.7,0.2,16.8,12.1,0.488,0.4,-2.9,-0.6,no
0.524,0.359,0.59,8.2,6.2,1.3,1.1,30.3,26.2,0.619,7.5,7.7,5.1,yes
0.466,0.398,0.545,6.1,2.1,0.8,0.2,17,15.2,0.574,4.9,-0.5,0.9,no
0.583,0.337,0.62,13.8,7.9,1.5,0.9,27.1,32.8,0.661,15.2,13.7,9.8,yes
0.476,0.337,0.525,3.8,2.1,1.7,0.8,9.5,12.3,0.573,4.6,-0.5,0.9,no
0.452,0.341,0.52,8.5,3.5,0.6,0.9,17.1,15.2,0.547,2,-0.2,1,no
0.476,0.389,0.554,4.6,4.5,0.6,0.3,24.4,20,0.605,5.8,2.4,2.6,yes
0.444,0.32,0.492,3.7,4.3,0.9,0.4,17,15.1,0.525,2.2,-1.2,0.4,no
0.44,0.377,0.555,4.5,7.5,1.1,0.3,13.4,15,0.6,6.4,1.9,2.1,no
0.445,0.358,0.542,5.7,1.3,0.7,0.5,14.8,14.7,0.582,5,0.4,1.1,no
0.485,0.427,0.552,3.2,4.3,0.7,0.4,17.5,16.2,0.594,7.3,0.6,1.8,no
0.46,0.388,0.539,4.3,5.1,1.1,0.4,22.1,18.3,0.553,3.6,1.9,2.1,no
0.443,0.373,0.522,5.4,5.4,1.2,0.3,20.1,18.1,0.577,5.3,1.6,1.9,yes
0.408,0.4,0.551,1.9,2.3,0.6,0.2,11.4,10.4,0.563,2.8,-1.7,0.2,no
0.448,0.355,0.533,4.2,5.3,1.5,0.2,25.9,21.6,0.572,7.2,4.3,3.6,yes
0.508,0.25,0.522,8.3,2.5,0.8,1.7,15,16.1,0.549,5.2,0.6,1.5,no
0.493,0.344,0.53,5.7,6.7,1.2,0.4,27.4,24.4,0.575,6.7,6.1,3.9,yes
0.434,0.367,0.507,4.4,2.1,0.5,0.3,15.4,13.7,0.549,2.4,-1.4,0.3,no
0.484,0.395,0.564,3,4.4,0.7,0.2,12.6,14.7,0.583,5.4,0,1.1,no
0.462,0.327,0.5,8.3,9.2,2,0.3,21.1,22.3,0.533,7.3,5.4,4.4,yes
0.457,0.389,0.591,4.8,2.5,1.1,0.4,7.4,10.3,0.608,5.5,0.8,1.7,no
0.48,0.35,0.544,3,1.8,0.8,0.3,8.8,10.4,0.589,4.2,-1.7,0.1,no
0.493,0.317,0.536,4.4,10.8,1.9,0.3,14.7,20.8,0.581,9.4,5.4,4,yes
0.618,1,0.619,9.3,2.8,0.7,1.7,13.5,20.8,0.613,6.9,1.6,1.7,no
0.448,0.364,0.548,3.4,4,0.8,0.3,18.5,16.1,0.598,6,1,1.7,no
0.415,0.375,0.511,4.4,6.2,1.1,0.4,15.6,13.5,0.531,0.8,-1.6,0.2,no
0.459,0.31,0.51,8.1,2.3,0.7,1.6,20.2,23.7,0.577,5.6,3.9,2.2,no
0.461,0.419,0.549,3.2,2.1,0.9,0.5,19,16.3,0.603,2.8,-0.3,0.6,no
0.411,0.308,0.459,9.9,5.1,0.7,0.5,20.1,15.7,0.509,3.1,0.5,1.6,no
0.444,0.374,0.539,4.3,4.5,1.3,0.3,19.3,17.6,0.566,5.9,1.7,2.3,no
0.411,0.34,0.502,3.3,7.1,1,0.3,18.1,16.3,0.544,4.4,0.8,1.4,no
0.573,0.312,0.598,12.1,5.2,1,0.4,18.9,21.9,0.637,7.1,4.1,3.2,no
0.494,0.344,0.525,8.5,5.3,1.3,0.6,22.8,20.3,0.565,8.1,3.5,3.6,no
0.443,0.405,0.555,2.6,3.9,0.5,0.1,17.3,15.3,0.583,1.9,-0.7,0.5,no
0.418,0.331,0.501,3.8,5.9,1.7,0.3,12.1,13.6,0.54,5.6,0.5,1.5,no
